mode,team,action_id,action_name,picks,pick_rate
standard,balanced+balanced,stop,暂停操作,39,0.1696
standard,balanced+balanced,ppe,补全PPE,17,0.0739
standard,balanced+balanced,label,核对标签,25,0.1087
standard,balanced+balanced,hood,使用通风橱,28,0.1217
standard,balanced+balanced,waste,分类回收,19,0.0826
standard,balanced+balanced,cleanup,隔离与清理,24,0.1043
standard,balanced+balanced,emergency,使用应急设施,38,0.1652
standard,balanced+balanced,report,上报负责人,40,0.1739
standard,balanced+expert,stop,暂停操作,37,0.1989
standard,balanced+expert,ppe,补全PPE,9,0.0484
standard,balanced+expert,label,核对标签,10,0.0538
standard,balanced+expert,hood,使用通风橱,26,0.1398
standard,balanced+expert,waste,分类回收,11,0.0591
standard,balanced+expert,cleanup,隔离与清理,23,0.1237
standard,balanced+expert,emergency,使用应急设施,30,0.1613
standard,balanced+expert,report,上报负责人,40,0.2151
standard,balanced+learner,stop,暂停操作,41,0.205
standard,balanced+learner,ppe,补全PPE,18,0.09
standard,balanced+learner,label,核对标签,17,0.085
standard,balanced+learner,hood,使用通风橱,21,0.105
standard,balanced+learner,waste,分类回收,16,0.08
standard,balanced+learner,cleanup,隔离与清理,22,0.11
standard,balanced+learner,emergency,使用应急设施,30,0.15
standard,balanced+learner,report,上报负责人,35,0.175
standard,balanced+reckless,stop,暂停操作,31,0.1615
standard,balanced+reckless,ppe,补全PPE,14,0.0729
standard,balanced+reckless,label,核对标签,15,0.0781
standard,balanced+reckless,hood,使用通风橱,21,0.1094
standard,balanced+reckless,waste,分类回收,15,0.0781
standard,balanced+reckless,cleanup,隔离与清理,26,0.1354
standard,balanced+reckless,emergency,使用应急设施,32,0.1667
standard,balanced+reckless,report,上报负责人,38,0.1979
standard,balanced+safe,stop,暂停操作,41,0.1971
standard,balanced+safe,ppe,补全PPE,17,0.0817
standard,balanced+safe,label,核对标签,11,0.0529
standard,balanced+safe,hood,使用通风橱,28,0.1346
standard,balanced+safe,waste,分类回收,13,0.0625
standard,balanced+safe,cleanup,隔离与清理,23,0.1106
