mode,team,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_turns,avg_redraws_used,loss_major_accident,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall
standard,balanced+balanced,3000,0.1117,0.0053,2.724,1.042,1.926,5.172,1.123,510,1228,184,743
standard,balanced+expert,3000,0.181,0.019,3.029,1.254,1.77,5.235,1.839,572,1127,90,668
standard,balanced+learner,3000,0.1163,0.0073,2.686,1.023,1.956,5.124,1.128,516,1266,194,675
standard,balanced+reckless,3000,0.1073,0.0083,2.709,1.017,1.945,5.162,1.125,535,1261,167,715
standard,balanced+safe,3000,0.1593,0.0137,2.951,1.185,1.76,5.252,1.731,569,1156,90,707
standard,expert+expert,3000,0.181,0.0173,2.968,1.238,1.79,5.185,1.835,616,1120,108,613
standard,expert+learner,3000,0.173,0.015,2.961,1.202,1.816,5.2,1.848,602,1150,96,633
standard,expert+reckless,3000,0.1813,0.0203,2.996,1.268,1.807,5.221,1.838,566,1109,131,650
standard,expert+safe,3000,0.175,0.021,2.972,1.194,1.798,5.204,1.842,594,1175,90,616
standard,learner+learner,3000,0.104,0.0067,2.74,1.014,1.943,5.2,1.125,515,1237,174,762
standard,learner+reckless,3000,0.1133,0.0083,2.712,1.062,1.941,5.144,1.145,558,1225,169,708
standard,learner+safe,3000,0.1603,0.0143,2.928,1.209,1.766,5.234,1.733,526,1144,126,723
standard,reckless+reckless,3000,0.065,0.0047,2.275,0.79,2.125,4.874,0.0,643,1416,188,558
standard,reckless+safe,3000,0.165,0.0133,2.978,1.233,1.748,5.272,1.723,505,1164,90,746
standard,safe+safe,3000,0.1643,0.0137,2.952,1.157,1.751,5.262,1.732,569,1170,89,679
teaching,balanced+balanced,3000,0.1273,0.0113,2.895,1.734,1.409,5.442,1.205,515,842,80,1181
challenge,balanced+balanced,3000,0.0213,0.0007,2.076,-0.125,2.007,5.063,0.826,572,2288,44,32
