mode,team,action_id,action_name,picks,pick_rate
standard,balanced+balanced,stop,暂停操作,7066,0.2
standard,balanced+balanced,ppe,补全PPE,2269,0.0642
standard,balanced+balanced,label,核对标签,2831,0.0801
standard,balanced+balanced,hood,使用通风橱,4161,0.1178
standard,balanced+balanced,waste,分类回收,2237,0.0633
standard,balanced+balanced,cleanup,隔离与清理,3720,0.1053
standard,balanced+balanced,emergency,使用应急设施,6076,0.172
standard,balanced+balanced,report,上报负责人,6964,0.1971
standard,balanced+expert,stop,暂停操作,7210,0.204
standard,balanced+expert,ppe,补全PPE,2312,0.0654
standard,balanced+expert,label,核对标签,2997,0.0848
standard,balanced+expert,hood,使用通风橱,4028,0.114
standard,balanced+expert,waste,分类回收,2146,0.0607
standard,balanced+expert,cleanup,隔离与清理,3778,0.1069
standard,balanced+expert,emergency,使用应急设施,5865,0.1659
standard,balanced+expert,report,上报负责人,7010,0.1983
standard,balanced+learner,stop,暂停操作,7122,0.2013
standard,balanced+learner,ppe,补全PPE,2253,0.0637
standard,balanced+learner,label,核对标签,2841,0.0803
standard,balanced+learner,hood,使用通风橱,4155,0.1174
standard,balanced+learner,waste,分类回收,2230,0.063
standard,balanced+learner,cleanup,隔离与清理,3732,0.1055
standard,balanced+learner,emergency,使用应急设施,6167,0.1743
standard,balanced+learner,report,上报负责人,6880,0.1945
standard,balanced+reckless,stop,暂停操作,7076,0.2002
standard,balanced+reckless,ppe,补全PPE,2253,0.0637
standard,balanced+reckless,label,核对标签,2908,0.0823
standard,balanced+reckless,hood,使用通风橱,4226,0.1195
standard,balanced+reckless,waste,分类回收,2171,0.0614
standard,balanced+reckless,cleanup,隔离与清理,3780,0.1069
standard,balanced+reckless,emergency,使用应急设施,6182,0.1749
standard,balanced+reckless,report,上报负责人,6754,0.1911
standard,balanced+safe,stop,暂停操作,7134,0.202
standard,balanced+safe,ppe,补全PPE,2200,0.0623
standard,balanced+safe,label,核对标签,2887,0.0817
standard,balanced+safe,hood,使用通风橱,4139,0.1172
standard,balanced+safe,waste,分类回收,2175,0.0616
standard,balanced+safe,cleanup,隔离与清理,3647,0.1033
standard,balanced+safe,emergency,使用应急设施,6236,0.1766
standard,balanced+safe,report,上报负责人,6902,0.1954
standard,expert+expert,stop,暂停操作,7117,0.2015
standard,expert+expert,ppe,补全PPE,2249,0.0637
standard,expert+expert,label,核对标签,2991,0.0847
standard,expert+expert,hood,使用通风橱,4056,0.1148
standard,expert+expert,waste,分类回收,2229,0.0631
standard,expert+expert,cleanup,隔离与清理,3838,0.1087
standard,expert+expert,emergency,使用应急设施,5897,0.1669
standard,expert+expert,report,上报负责人,6945,0.1966
standard,expert+learner,stop,暂停操作,7202,0.204
standard,expert+learner,ppe,补全PPE,2308,0.0654
standard,expert+learner,label,核对标签,2976,0.0843
standard,expert+learner,hood,使用通风橱,4026,0.114
standard,expert+learner,waste,分类回收,2239,0.0634
standard,expert+learner,cleanup,隔离与清理,3730,0.1056
standard,expert+learner,emergency,使用应急设施,5864,0.1661
standard,expert+learner,report,上报负责人,6965,0.1973
standard,expert+reckless,stop,暂停操作,7066,0.2001
standard,expert+reckless,ppe,补全PPE,2280,0.0646
standard,expert+reckless,label,核对标签,3058,0.0866
standard,expert+reckless,hood,使用通风橱,4118,0.1166
standard,expert+reckless,waste,分类回收,2336,0.0662
standard,expert+reckless,cleanup,隔离与清理,3762,0.1066
standard,expert+reckless,emergency,使用应急设施,6093,0.1726
standard,expert+reckless,report,上报负责人,6593,0.1867
standard,expert+safe,stop,暂停操作,7167,0.2032
standard,expert+safe,ppe,补全PPE,2212,0.0627
standard,expert+safe,label,核对标签,2977,0.0844
standard,expert+safe,hood,使用通风橱,3993,0.1132
standard,expert+safe,waste,分类回收,2184,0.0619
standard,expert+safe,cleanup,隔离与清理,3672,0.1041
standard,expert+safe,emergency,使用应急设施,5989,0.1698
standard,expert+safe,report,上报负责人,7082,0.2008
standard,learner+learner,stop,暂停操作,6700,0.1902
standard,learner+learner,ppe,补全PPE,2565,0.0728
standard,learner+learner,label,核对标签,3090,0.0877
standard,learner+learner,hood,使用通风橱,4137,0.1174
standard,learner+learner,waste,分类回收,2608,0.074
standard,learner+learner,cleanup,隔离与清理,3688,0.1047
standard,learner+learner,emergency,使用应急设施,5934,0.1684
standard,learner+learner,report,上报负责人,6508,0.1847
standard,learner+reckless,stop,暂停操作,6709,0.1903
standard,learner+reckless,ppe,补全PPE,2537,0.072
standard,learner+reckless,label,核对标签,3059,0.0868
standard,learner+reckless,hood,使用通风橱,4167,0.1182
standard,learner+reckless,waste,分类回收,2582,0.0732
standard,learner+reckless,cleanup,隔离与清理,3756,0.1065
standard,learner+reckless,emergency,使用应急设施,6011,0.1705
standard,learner+reckless,report,上报负责人,6439,0.1826
standard,learner+safe,stop,暂停操作,7121,0.2015
standard,learner+safe,ppe,补全PPE,2210,0.0625
standard,learner+safe,label,核对标签,2920,0.0826
standard,learner+safe,hood,使用通风橱,4062,0.1149
standard,learner+safe,waste,分类回收,2234,0.0632
standard,learner+safe,cleanup,隔离与清理,3551,0.1005
standard,learner+safe,emergency,使用应急设施,6329,0.179
standard,learner+safe,report,上报负责人,6921,0.1958
standard,reckless+reckless,stop,暂停操作,5575,0.1623
standard,reckless+reckless,ppe,补全PPE,3108,0.0905
standard,reckless+reckless,label,核对标签,3549,0.1033
standard,reckless+reckless,hood,使用通风橱,4320,0.1257
standard,reckless+reckless,waste,分类回收,3097,0.0901
standard,reckless+reckless,cleanup,隔离与清理,4057,0.1181
standard,reckless+reckless,emergency,使用应急设施,5338,0.1554
standard,reckless+reckless,report,上报负责人,5316,0.1547
standard,reckless+safe,stop,暂停操作,7086,0.2008
standard,reckless+safe,ppe,补全PPE,2261,0.0641
standard,reckless+safe,label,核对标签,2876,0.0815
standard,reckless+safe,hood,使用通风橱,4101,0.1162
standard,reckless+safe,waste,分类回收,2220,0.0629
standard,reckless+safe,cleanup,隔离与清理,3736,0.1059
standard,reckless+safe,emergency,使用应急设施,6203,0.1758
standard,reckless+safe,report,上报负责人,6801,0.1928
standard,safe+safe,stop,暂停操作,7147,0.203
standard,safe+safe,ppe,补全PPE,2208,0.0627
standard,safe+safe,label,核对标签,2761,0.0784
standard,safe+safe,hood,使用通风橱,4007,0.1138
standard,safe+safe,waste,分类回收,2193,0.0623
standard,safe+safe,cleanup,隔离与清理,3603,0.1023
standard,safe+safe,emergency,使用应急设施,6288,0.1786
standard,safe+safe,report,上报负责人,7001,0.1988
teaching,balanced+balanced,stop,暂停操作,7590,0.2117
teaching,balanced+balanced,ppe,补全PPE,2025,0.0565
teaching,balanced+balanced,label,核对标签,2796,0.078
teaching,balanced+balanced,hood,使用通风橱,4225,0.1178
teaching,balanced+balanced,waste,分类回收,2052,0.0572
teaching,balanced+balanced,cleanup,隔离与清理,3713,0.1035
teaching,balanced+balanced,emergency,使用应急设施,6201,0.1729
teaching,balanced+balanced,report,上报负责人,7256,0.2024
challenge,balanced+balanced,stop,暂停操作,6886,0.175
challenge,balanced+balanced,ppe,补全PPE,3019,0.0767
challenge,balanced+balanced,label,核对标签,3672,0.0933
challenge,balanced+balanced,hood,使用通风橱,4885,0.1242
challenge,balanced+balanced,waste,分类回收,3028,0.077
challenge,balanced+balanced,cleanup,隔离与清理,4345,0.1104
challenge,balanced+balanced,emergency,使用应急设施,6579,0.1672
challenge,balanced+balanced,report,上报负责人,6928,0.1761
