mode,team,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,E01,未佩戴护目镜,1091,0.2301,0.4977,0.1274,0.1448,0.0,0.0
standard,balanced+balanced,E02,试剂瓶标签模糊,1103,0.2339,0.4597,0.1342,0.1723,0.0,0.0
standard,balanced+balanced,E03,实验台杂乱,1142,0.1935,0.4562,0.1349,0.2154,0.0,0.0
standard,balanced+balanced,E04,废液桶未及时封口,1099,0.4804,0.2675,0.1802,0.0719,0.0,0.0
standard,balanced+balanced,E05,挥发性溶剂在开放环境中转移,1084,0.2352,0.4945,0.1541,0.1162,0.0,0.0
standard,balanced+balanced,E06,有机溶剂附近存在火源,1080,0.2991,0.1907,0.3815,0.1287,0.0,0.0
standard,balanced+balanced,E07,地面少量液体洒漏,1143,0.2747,0.4558,0.1645,0.105,0.0,0.0
standard,balanced+balanced,E08,玻璃器皿出现裂纹,1085,0.2212,0.3023,0.2691,0.2074,0.0,0.0
standard,balanced+balanced,E09,气瓶未固定,1063,0.1703,0.3067,0.2681,0.2549,0.0,0.0
standard,balanced+balanced,E10,通风橱内堆放过多物品,1107,0.4643,0.2547,0.2529,0.028,0.0,0.0
standard,balanced+balanced,E11,废液混放产生异常气味,1117,0.2023,0.2999,0.2614,0.2363,0.0,0.0
standard,balanced+balanced,E12,加热装置无人值守,1110,0.2099,0.3063,0.2631,0.2207,0.0,0.0
standard,balanced+balanced,E13,皮肤接触腐蚀性液体,1106,0.2568,0.4304,0.0,0.0,0.3128,0.0
standard,balanced+balanced,E14,容器内压力异常升高,1078,0.2087,0.295,0.2755,0.2208,0.0,0.0
standard,balanced+balanced,E15,实验台出现小型明火,1146,0.2574,0.4215,0.0,0.0,0.3211,0.0
standard,balanced+balanced,E16,刺激性气味明显增强,1108,0.3818,0.1155,0.4504,0.0523,0.0,0.0
standard,balanced+expert,E01,未佩戴护目镜,1090,0.2945,0.5202,0.0991,0.0862,0.0,0.0
