mode,team,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_turns,avg_redraws_used,loss_major_accident,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall
standard,balanced+balanced,3000,0.5627,0.05,3.638,2.548,0.81,5.887,1.694,0,627,6,679
standard,balanced+expert,3000,0.5807,0.055,3.673,2.512,0.884,5.891,1.817,0,629,6,623
standard,balanced+learner,3000,0.5813,0.0553,3.69,2.638,0.791,5.897,1.697,0,566,6,684
standard,balanced+reckless,3000,0.55,0.0443,3.603,2.609,0.792,5.892,1.706,0,601,13,736
standard,balanced+safe,3000,0.5573,0.048,3.625,2.49,0.837,5.887,1.702,0,631,7,690
standard,expert+expert,3000,0.5807,0.059,3.716,2.609,0.856,5.887,1.811,0,611,18,629
standard,expert+learner,3000,0.5897,0.0613,3.688,2.552,0.859,5.885,1.825,0,637,9,585
standard,expert+reckless,3000,0.5863,0.058,3.689,2.652,0.839,5.884,1.822,0,600,5,636
standard,expert+safe,3000,0.5677,0.0537,3.669,2.509,0.884,5.879,1.817,0,631,15,651
standard,learner+learner,3000,0.5033,0.0353,3.443,2.284,1.001,5.872,1.142,0,654,28,808
standard,learner+reckless,3000,0.511,0.0303,3.437,2.417,0.951,5.877,1.148,0,620,22,825
standard,learner+safe,3000,0.5697,0.0457,3.627,2.532,0.823,5.891,1.717,0,600,7,684
standard,reckless+reckless,3000,0.387,0.0163,3.001,1.797,1.214,5.727,0.0,0,995,31,813
standard,reckless+safe,3000,0.5773,0.0463,3.653,2.679,0.773,5.881,1.693,0,566,4,698
standard,safe+safe,3000,0.5407,0.046,3.579,2.401,0.855,5.868,1.718,0,679,6,693
teaching,balanced+balanced,3000,0.636,0.058,3.835,3.727,0.356,5.976,2.075,0,221,4,867
challenge,balanced+balanced,3000,0.1987,0.0033,2.874,0.057,1.306,6.557,0.988,0,2320,3,81
