mode,team,action_id,action_name,picks,pick_rate
standard,balanced+balanced,stop,暂停操作,7196,0.2061
standard,balanced+balanced,ppe,补全PPE,1892,0.0542
standard,balanced+balanced,label,核对标签,4123,0.1181
standard,balanced+balanced,hood,使用通风橱,4155,0.119
standard,balanced+balanced,waste,分类回收,1854,0.0531
standard,balanced+balanced,cleanup,隔离与清理,2992,0.0857
standard,balanced+balanced,emergency,使用应急设施,5919,0.1695
standard,balanced+balanced,report,上报负责人,6787,0.1944
standard,balanced+expert,stop,暂停操作,7138,0.2048
standard,balanced+expert,ppe,补全PPE,1972,0.0566
standard,balanced+expert,label,核对标签,4204,0.1206
standard,balanced+expert,hood,使用通风橱,4087,0.1173
standard,balanced+expert,waste,分类回收,1877,0.0539
standard,balanced+expert,cleanup,隔离与清理,2963,0.085
standard,balanced+expert,emergency,使用应急设施,5810,0.1667
standard,balanced+expert,report,上报负责人,6797,0.195
standard,balanced+learner,stop,暂停操作,7157,0.2055
standard,balanced+learner,ppe,补全PPE,1938,0.0556
standard,balanced+learner,label,核对标签,3963,0.1138
standard,balanced+learner,hood,使用通风橱,4038,0.1159
standard,balanced+learner,waste,分类回收,1813,0.0521
standard,balanced+learner,cleanup,隔离与清理,2942,0.0845
standard,balanced+learner,emergency,使用应急设施,6093,0.1749
standard,balanced+learner,report,上报负责人,6884,0.1977
standard,balanced+reckless,stop,暂停操作,7127,0.204
standard,balanced+reckless,ppe,补全PPE,2087,0.0597
standard,balanced+reckless,label,核对标签,4209,0.1205
standard,balanced+reckless,hood,使用通风橱,4125,0.1181
standard,balanced+reckless,waste,分类回收,2001,0.0573
standard,balanced+reckless,cleanup,隔离与清理,3005,0.086
standard,balanced+reckless,emergency,使用应急设施,5760,0.1649
standard,balanced+reckless,report,上报负责人,6616,0.1894
standard,balanced+safe,stop,暂停操作,7187,0.207
standard,balanced+safe,ppe,补全PPE,1845,0.0531
standard,balanced+safe,label,核对标签,3854,0.111
standard,balanced+safe,hood,使用通风橱,3983,0.1147
standard,balanced+safe,waste,分类回收,1908,0.0549
standard,balanced+safe,cleanup,隔离与清理,2956,0.0851
standard,balanced+safe,emergency,使用应急设施,6126,0.1764
standard,balanced+safe,report,上报负责人,6865,0.1977
standard,expert+expert,stop,暂停操作,7159,0.2051
standard,expert+expert,ppe,补全PPE,1969,0.0564
standard,expert+expert,label,核对标签,4289,0.1229
standard,expert+expert,hood,使用通风橱,4083,0.117
standard,expert+expert,waste,分类回收,1895,0.0543
standard,expert+expert,cleanup,隔离与清理,3045,0.0872
standard,expert+expert,emergency,使用应急设施,5795,0.166
standard,expert+expert,report,上报负责人,6667,0.191
standard,expert+learner,stop,暂停操作,7128,0.2045
standard,expert+learner,ppe,补全PPE,1923,0.0552
standard,expert+learner,label,核对标签,4030,0.1156
standard,expert+learner,hood,使用通风橱,4013,0.1151
standard,expert+learner,waste,分类回收,1951,0.056
standard,expert+learner,cleanup,隔离与清理,2979,0.0855
standard,expert+learner,emergency,使用应急设施,6063,0.1739
standard,expert+learner,report,上报负责人,6769,0.1942
standard,expert+reckless,stop,暂停操作,7097,0.2038
standard,expert+reckless,ppe,补全PPE,2134,0.0613
standard,expert+reckless,label,核对标签,4293,0.1233
standard,expert+reckless,hood,使用通风橱,4055,0.1164
standard,expert+reckless,waste,分类回收,1879,0.0539
standard,expert+reckless,cleanup,隔离与清理,2970,0.0853
standard,expert+reckless,emergency,使用应急设施,5768,0.1656
standard,expert+reckless,report,上报负责人,6634,0.1905
standard,expert+safe,stop,暂停操作,7237,0.2074
standard,expert+safe,ppe,补全PPE,1961,0.0562
standard,expert+safe,label,核对标签,3925,0.1125
standard,expert+safe,hood,使用通风橱,3963,0.1136
standard,expert+safe,waste,分类回收,1818,0.0521
standard,expert+safe,cleanup,隔离与清理,2969,0.0851
standard,expert+safe,emergency,使用应急设施,6151,0.1763
standard,expert+safe,report,上报负责人,6872,0.1969
standard,learner+learner,stop,暂停操作,6807,0.1967
standard,learner+learner,ppe,补全PPE,2244,0.0649
standard,learner+learner,label,核对标签,4108,0.1187
standard,learner+learner,hood,使用通风橱,3902,0.1128
standard,learner+learner,waste,分类回收,2133,0.0616
standard,learner+learner,cleanup,隔离与清理,2990,0.0864
standard,learner+learner,emergency,使用应急设施,6019,0.174
standard,learner+learner,report,上报负责人,6397,0.1849
standard,learner+reckless,stop,暂停操作,6646,0.1919
standard,learner+reckless,ppe,补全PPE,2283,0.0659
standard,learner+reckless,label,核对标签,4218,0.1218
standard,learner+reckless,hood,使用通风橱,3940,0.1138
standard,learner+reckless,waste,分类回收,2193,0.0633
standard,learner+reckless,cleanup,隔离与清理,3107,0.0897
standard,learner+reckless,emergency,使用应急设施,5909,0.1707
standard,learner+reckless,report,上报负责人,6328,0.1828
standard,learner+safe,stop,暂停操作,7144,0.2054
standard,learner+safe,ppe,补全PPE,2006,0.0577
standard,learner+safe,label,核对标签,3732,0.1073
standard,learner+safe,hood,使用通风橱,3946,0.1135
standard,learner+safe,waste,分类回收,1851,0.0532
standard,learner+safe,cleanup,隔离与清理,2939,0.0845
standard,learner+safe,emergency,使用应急设施,6279,0.1806
standard,learner+safe,report,上报负责人,6877,0.1978
standard,reckless+reckless,stop,暂停操作,5387,0.1603
standard,reckless+reckless,ppe,补全PPE,2896,0.0862
standard,reckless+reckless,label,核对标签,4394,0.1308
standard,reckless+reckless,hood,使用通风橱,4152,0.1236
standard,reckless+reckless,waste,分类回收,2724,0.0811
standard,reckless+reckless,cleanup,隔离与清理,3681,0.1096
standard,reckless+reckless,emergency,使用应急设施,5085,0.1514
standard,reckless+reckless,report,上报负责人,5277,0.1571
standard,reckless+safe,stop,暂停操作,7164,0.2054
standard,reckless+safe,ppe,补全PPE,2064,0.0592
standard,reckless+safe,label,核对标签,3928,0.1126
standard,reckless+safe,hood,使用通风橱,4057,0.1163
standard,reckless+safe,waste,分类回收,1929,0.0553
standard,reckless+safe,cleanup,隔离与清理,2987,0.0856
standard,reckless+safe,emergency,使用应急设施,6070,0.174
standard,reckless+safe,report,上报负责人,6679,0.1915
standard,safe+safe,stop,暂停操作,7215,0.2076
standard,safe+safe,ppe,补全PPE,2008,0.0578
standard,safe+safe,label,核对标签,3540,0.1019
standard,safe+safe,hood,使用通风橱,3899,0.1122
standard,safe+safe,waste,分类回收,1872,0.0539
standard,safe+safe,cleanup,隔离与清理,2941,0.0846
standard,safe+safe,emergency,使用应急设施,6415,0.1846
standard,safe+safe,report,上报负责人,6866,0.1975
teaching,balanced+balanced,stop,暂停操作,7582,0.2136
teaching,balanced+balanced,ppe,补全PPE,1882,0.053
teaching,balanced+balanced,label,核对标签,4040,0.1138
teaching,balanced+balanced,hood,使用通风橱,4126,0.1163
teaching,balanced+balanced,waste,分类回收,1816,0.0512
teaching,balanced+balanced,cleanup,隔离与清理,2946,0.083
teaching,balanced+balanced,emergency,使用应急设施,6049,0.1704
teaching,balanced+balanced,report,上报负责人,7051,0.1987
challenge,balanced+balanced,stop,暂停操作,6931,0.1814
challenge,balanced+balanced,ppe,补全PPE,2581,0.0675
challenge,balanced+balanced,label,核对标签,4349,0.1138
challenge,balanced+balanced,hood,使用通风橱,4587,0.12
challenge,balanced+balanced,waste,分类回收,2626,0.0687
challenge,balanced+balanced,cleanup,隔离与清理,3633,0.0951
challenge,balanced+balanced,emergency,使用应急设施,6569,0.1719
