mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,none,无策略,stop,暂停操作,7205,0.2057
standard,balanced+balanced,none,无策略,ppe,补全PPE,2052,0.0586
standard,balanced+balanced,none,无策略,label,核对标签,3979,0.1136
standard,balanced+balanced,none,无策略,hood,使用通风橱,3970,0.1133
standard,balanced+balanced,none,无策略,waste,分类回收,1841,0.0526
standard,balanced+balanced,none,无策略,cleanup,隔离与清理,3476,0.0992
standard,balanced+balanced,none,无策略,emergency,使用应急设施,5763,0.1645
standard,balanced+balanced,none,无策略,report,上报负责人,6744,0.1925
standard,balanced+expert,none,无策略,stop,暂停操作,7156,0.2047
standard,balanced+expert,none,无策略,ppe,补全PPE,2029,0.058
standard,balanced+expert,none,无策略,label,核对标签,3972,0.1136
standard,balanced+expert,none,无策略,hood,使用通风橱,3927,0.1123
standard,balanced+expert,none,无策略,waste,分类回收,1829,0.0523
standard,balanced+expert,none,无策略,cleanup,隔离与清理,3486,0.0997
standard,balanced+expert,none,无策略,emergency,使用应急设施,5743,0.1642
standard,balanced+expert,none,无策略,report,上报负责人,6824,0.1952
standard,balanced+learner,none,无策略,stop,暂停操作,7100,0.2037
standard,balanced+learner,none,无策略,ppe,补全PPE,2135,0.0612
standard,balanced+learner,none,无策略,label,核对标签,3841,0.1102
standard,balanced+learner,none,无策略,hood,使用通风橱,3882,0.1114
standard,balanced+learner,none,无策略,waste,分类回收,1839,0.0528
standard,balanced+learner,none,无策略,cleanup,隔离与清理,3452,0.099
standard,balanced+learner,none,无策略,emergency,使用应急设施,5856,0.168
standard,balanced+learner,none,无策略,report,上报负责人,6753,0.1937
standard,balanced+reckless,none,无策略,stop,暂停操作,7085,0.2024
standard,balanced+reckless,none,无策略,ppe,补全PPE,2162,0.0618
standard,balanced+reckless,none,无策略,label,核对标签,4070,0.1163
standard,balanced+reckless,none,无策略,hood,使用通风橱,3958,0.1131
standard,balanced+reckless,none,无策略,waste,分类回收,1959,0.056
standard,balanced+reckless,none,无策略,cleanup,隔离与清理,3461,0.0989
standard,balanced+reckless,none,无策略,emergency,使用应急设施,5689,0.1625
standard,balanced+reckless,none,无策略,report,上报负责人,6624,0.1892
standard,balanced+safe,none,无策略,stop,暂停操作,7186,0.2065
standard,balanced+safe,none,无策略,ppe,补全PPE,2056,0.0591
standard,balanced+safe,none,无策略,label,核对标签,3700,0.1063
standard,balanced+safe,none,无策略,hood,使用通风橱,3787,0.1088
standard,balanced+safe,none,无策略,waste,分类回收,1836,0.0528
standard,balanced+safe,none,无策略,cleanup,隔离与清理,3398,0.0976
standard,balanced+safe,none,无策略,emergency,使用应急设施,6040,0.1736
standard,balanced+safe,none,无策略,report,上报负责人,6799,0.1954
standard,expert+expert,none,无策略,stop,暂停操作,7148,0.2046
standard,expert+expert,none,无策略,ppe,补全PPE,2062,0.059
