mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,none,无策略,E01,未佩戴护目镜,1023,0.2414,0.4741,0.1281,0.1564,0.0,0.0
standard,balanced+balanced,none,无策略,E02,试剂瓶标签模糊,1045,0.199,0.4775,0.1416,0.1818,0.0,0.0
standard,balanced+balanced,none,无策略,E03,实验台杂乱,1566,0.2024,0.4719,0.1494,0.1762,0.0,0.0
standard,balanced+balanced,none,无策略,E04,废液桶未及时封口,902,0.449,0.2761,0.1951,0.0798,0.0,0.0
standard,balanced+balanced,none,无策略,E05,挥发性溶剂在开放环境中转移,1271,0.2541,0.4839,0.1613,0.1007,0.0,0.0
standard,balanced+balanced,none,无策略,E06,有机溶剂附近存在火源,952,0.2374,0.2227,0.3582,0.1817,0.0,0.0
standard,balanced+balanced,none,无策略,E07,地面少量液体洒漏,593,0.2782,0.4368,0.1906,0.0944,0.0,0.0
standard,balanced+balanced,none,无策略,E08,玻璃器皿出现裂纹,1648,0.2415,0.2688,0.2937,0.196,0.0,0.0
standard,balanced+balanced,none,无策略,E09,气瓶未固定,589,0.1986,0.2649,0.3039,0.2326,0.0,0.0
standard,balanced+balanced,none,无策略,E10,通风橱内堆放过多物品,821,0.3788,0.3264,0.268,0.0268,0.0,0.0
standard,balanced+balanced,none,无策略,E11,废液混放产生异常气味,879,0.2275,0.2685,0.3151,0.1889,0.0,0.0
standard,balanced+balanced,none,无策略,E12,加热装置无人值守,1198,0.2162,0.2805,0.3055,0.1978,0.0,0.0
standard,balanced+balanced,none,无策略,E13,皮肤接触腐蚀性液体,1276,0.2524,0.4851,0.0,0.0,0.2625,0.0
standard,balanced+balanced,none,无策略,E14,容器内压力异常升高,1201,0.2406,0.2731,0.2798,0.2065,0.0,0.0
standard,balanced+balanced,none,无策略,E15,实验台出现小型明火,784,0.3227,0.4311,0.0,0.0,0.2462,0.0
standard,balanced+balanced,none,无策略,E16,刺激性气味明显增强,1767,0.3871,0.1449,0.4307,0.0374,0.0,0.0
standard,balanced+expert,none,无策略,E01,未佩戴护目镜,956,0.2563,0.4906,0.113,0.1402,0.0,0.0
standard,balanced+expert,none,无策略,E02,试剂瓶标签模糊,1072,0.2052,0.4776,0.1399,0.1772,0.0,0.0
standard,balanced+expert,none,无策略,E03,实验台杂乱,1515,0.2145,0.4812,0.1452,0.1591,0.0,0.0
standard,balanced+expert,none,无策略,E04,废液桶未及时封口,913,0.4403,0.3034,0.1982,0.0581,0.0,0.0
standard,balanced+expert,none,无策略,E05,挥发性溶剂在开放环境中转移,1279,0.2596,0.4965,0.1321,0.1118,0.0,0.0
standard,balanced+expert,none,无策略,E06,有机溶剂附近存在火源,928,0.2284,0.264,0.3427,0.1649,0.0,0.0
standard,balanced+expert,none,无策略,E07,地面少量液体洒漏,610,0.282,0.4279,0.1902,0.1,0.0,0.0
standard,balanced+expert,none,无策略,E08,玻璃器皿出现裂纹,1644,0.2293,0.2804,0.2962,0.194,0.0,0.0
standard,balanced+expert,none,无策略,E09,气瓶未固定,607,0.2422,0.2554,0.2751,0.2273,0.0,0.0
standard,balanced+expert,none,无策略,E10,通风橱内堆放过多物品,826,0.3753,0.3087,0.27,0.046,0.0,0.0
standard,balanced+expert,none,无策略,E11,废液混放产生异常气味,923,0.1863,0.2882,0.2969,0.2286,0.0,0.0
standard,balanced+expert,none,无策略,E12,加热装置无人值守,1230,0.2106,0.2797,0.3016,0.2081,0.0,0.0
standard,balanced+expert,none,无策略,E13,皮肤接触腐蚀性液体,1281,0.2654,0.4902,0.0,0.0,0.2443,0.0
standard,balanced+expert,none,无策略,E14,容器内压力异常升高,1191,0.2233,0.2746,0.2872,0.2149,0.0,0.0
standard,balanced+expert,none,无策略,E15,实验台出现小型明火,788,0.316,0.3959,0.0,0.0,0.2881,0.0
standard,balanced+expert,none,无策略,E16,刺激性气味明显增强,1720,0.3762,0.1424,0.439,0.0424,0.0,0.0
standard,balanced+learner,none,无策略,E01,未佩戴护目镜,1070,0.2393,0.4813,0.1252,0.1542,0.0,0.0
standard,balanced+learner,none,无策略,E02,试剂瓶标签模糊,978,0.183,0.4775,0.1319,0.2076,0.0,0.0
standard,balanced+learner,none,无策略,E03,实验台杂乱,1533,0.214,0.4618,0.1422,0.182,0.0,0.0
standard,balanced+learner,none,无策略,E04,废液桶未及时封口,879,0.471,0.2821,0.1752,0.0717,0.0,0.0
standard,balanced+learner,none,无策略,E05,挥发性溶剂在开放环境中转移,1249,0.2546,0.4852,0.1457,0.1145,0.0,0.0
standard,balanced+learner,none,无策略,E06,有机溶剂附近存在火源,927,0.2869,0.2244,0.3193,0.1694,0.0,0.0
standard,balanced+learner,none,无策略,E07,地面少量液体洒漏,599,0.2721,0.4791,0.1653,0.0835,0.0,0.0
standard,balanced+learner,none,无策略,E08,玻璃器皿出现裂纹,1669,0.2289,0.2684,0.308,0.1947,0.0,0.0
standard,balanced+learner,none,无策略,E09,气瓶未固定,599,0.2037,0.2337,0.3189,0.2437,0.0,0.0
standard,balanced+learner,none,无策略,E10,通风橱内堆放过多物品,834,0.4077,0.307,0.2458,0.0396,0.0,0.0
standard,balanced+learner,none,无策略,E11,废液混放产生异常气味,909,0.2233,0.2717,0.2882,0.2167,0.0,0.0
standard,balanced+learner,none,无策略,E12,加热装置无人值守,1179,0.2239,0.2807,0.3028,0.1925,0.0,0.0
standard,balanced+learner,none,无策略,E13,皮肤接触腐蚀性液体,1281,0.249,0.4887,0.0,0.0,0.2623,0.0
standard,balanced+learner,none,无策略,E14,容器内压力异常升高,1192,0.2215,0.2768,0.3045,0.1971,0.0,0.0
standard,balanced+learner,none,无策略,E15,实验台出现小型明火,783,0.3078,0.3883,0.0,0.0,0.304,0.0
standard,balanced+learner,none,无策略,E16,刺激性气味明显增强,1748,0.3696,0.1367,0.4657,0.028,0.0,0.0
standard,balanced+reckless,none,无策略,E01,未佩戴护目镜,1037,0.2044,0.4995,0.1254,0.1707,0.0,0.0
standard,balanced+reckless,none,无策略,E02,试剂瓶标签模糊,1027,0.2084,0.4489,0.147,0.1957,0.0,0.0
standard,balanced+reckless,none,无策略,E03,实验台杂乱,1549,0.2266,0.4409,0.1504,0.1821,0.0,0.0
standard,balanced+reckless,none,无策略,E04,废液桶未及时封口,878,0.4499,0.287,0.1902,0.0729,0.0,0.0
standard,balanced+reckless,none,无策略,E05,挥发性溶剂在开放环境中转移,1218,0.2266,0.4934,0.1609,0.119,0.0,0.0
standard,balanced+reckless,none,无策略,E06,有机溶剂附近存在火源,939,0.2737,0.2279,0.3706,0.1278,0.0,0.0
standard,balanced+reckless,none,无策略,E07,地面少量液体洒漏,623,0.3002,0.4222,0.2022,0.0754,0.0,0.0
standard,balanced+reckless,none,无策略,E08,玻璃器皿出现裂纹,1635,0.2508,0.2673,0.3089,0.1731,0.0,0.0
standard,balanced+reckless,none,无策略,E09,气瓶未固定,593,0.2344,0.2648,0.3035,0.1973,0.0,0.0
standard,balanced+reckless,none,无策略,E10,通风橱内堆放过多物品,823,0.401,0.2892,0.2321,0.0778,0.0,0.0
standard,balanced+reckless,none,无策略,E11,废液混放产生异常气味,948,0.2289,0.2574,0.3027,0.211,0.0,0.0
standard,balanced+reckless,none,无策略,E12,加热装置无人值守,1184,0.239,0.2669,0.3252,0.1689,0.0,0.0
standard,balanced+reckless,none,无策略,E13,皮肤接触腐蚀性液体,1284,0.2492,0.4813,0.0,0.0,0.2695,0.0
