mode,team,strategy_id,strategy_name,task_id,task_name,appearances,completions,completion_rate,reward
standard,balanced+balanced,none,无策略,T01,配制酸溶液,1436,1017,0.7082,recover_safety
standard,balanced+balanced,none,无策略,T02,有机溶剂转移,1453,810,0.5575,clear_hazard
standard,balanced+balanced,none,无策略,T03,加热回流,1476,836,0.5664,reduce_upgrade
standard,balanced+balanced,none,无策略,T04,废液分类处理,1438,835,0.5807,clear_hazard
standard,balanced+balanced,none,无策略,T05,气瓶连接使用,1468,739,0.5034,reduce_upgrade
standard,balanced+balanced,none,无策略,T06,通风橱内称量与转移,1468,890,0.6063,gain_redraw
standard,balanced+balanced,none,无策略,T07,清理实验台,1438,756,0.5257,recover_safety
standard,balanced+balanced,none,无策略,T08,紧急情况报告与撤离,1485,957,0.6444,control_choice
standard,balanced+balanced,none,无策略,T09,危险化学品领用与登记,1447,808,0.5584,reduce_upgrade
standard,balanced+balanced,none,无策略,T10,低温/高温设备使用,1445,919,0.636,recover_safety
standard,balanced+balanced,none,无策略,T11,旋蒸或离心设备操作,1479,832,0.5625,gain_redraw
standard,balanced+balanced,none,无策略,T12,实验结束后的交接检查,1482,825,0.5567,clear_hazard
standard,balanced+expert,none,无策略,T01,配制酸溶液,1423,1033,0.7259,recover_safety
standard,balanced+expert,none,无策略,T02,有机溶剂转移,1433,825,0.5757,clear_hazard
standard,balanced+expert,none,无策略,T03,加热回流,1462,819,0.5602,reduce_upgrade
standard,balanced+expert,none,无策略,T04,废液分类处理,1469,883,0.6011,clear_hazard
standard,balanced+expert,none,无策略,T05,气瓶连接使用,1477,752,0.5091,reduce_upgrade
standard,balanced+expert,none,无策略,T06,通风橱内称量与转移,1481,902,0.609,gain_redraw
standard,balanced+expert,none,无策略,T07,清理实验台,1461,755,0.5168,recover_safety
standard,balanced+expert,none,无策略,T08,紧急情况报告与撤离,1515,925,0.6106,control_choice
standard,balanced+expert,none,无策略,T09,危险化学品领用与登记,1463,803,0.5489,reduce_upgrade
standard,balanced+expert,none,无策略,T10,低温/高温设备使用,1438,938,0.6523,recover_safety
standard,balanced+expert,none,无策略,T11,旋蒸或离心设备操作,1430,815,0.5699,gain_redraw
standard,balanced+expert,none,无策略,T12,实验结束后的交接检查,1431,795,0.5556,clear_hazard
standard,balanced+learner,none,无策略,T01,配制酸溶液,1438,1013,0.7045,recover_safety
standard,balanced+learner,none,无策略,T02,有机溶剂转移,1438,826,0.5744,clear_hazard
standard,balanced+learner,none,无策略,T03,加热回流,1474,834,0.5658,reduce_upgrade
