mode,team,strategy_id,strategy_name,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,none,无策略,3000,0.5133,0.1693,3.408,3.419,0.56,1.362,5.876,1.842,3.408,0,113,57,373,9,908,2764,2692,3046,1722
standard,balanced+expert,none,无策略,3000,0.5137,0.1697,3.415,3.372,0.574,1.372,5.862,1.895,3.415,0,104,70,385,11,889,2766,2726,3036,1717
standard,balanced+learner,none,无策略,3000,0.5153,0.174,3.39,3.382,0.574,1.412,5.849,1.865,3.39,0,117,83,408,12,834,2724,2722,3002,1722
standard,balanced+reckless,none,无策略,3000,0.5047,0.1777,3.391,3.435,0.554,1.391,5.865,1.862,3.391,0,92,75,411,11,897,2713,2790,2985,1684
standard,balanced+safe,none,无策略,3000,0.503,0.1733,3.358,3.311,0.602,1.399,5.842,1.887,3.358,0,124,70,406,18,873,2757,2713,2952,1653
standard,expert+expert,none,无策略,3000,0.512,0.1803,3.397,3.329,0.614,1.39,5.857,1.895,3.397,0,101,78,424,18,843,2753,2737,3010,1691
standard,expert+learner,none,无策略,3000,0.5163,0.1787,3.405,3.356,0.568,1.365,5.873,1.903,3.405,0,116,65,380,7,883,2853,2715,2951,1695
standard,expert+reckless,none,无策略,3000,0.517,0.1853,3.436,3.491,0.527,1.343,5.873,1.898,3.436,0,115,72,379,1,882,2768,2717,3092,1730
standard,expert+safe,none,无策略,3000,0.5107,0.1687,3.409,3.295,0.611,1.37,5.858,1.898,3.409,0,122,53,408,11,874,2850,2692,2954,1731
standard,learner+learner,none,无策略,3000,0.4517,0.1317,3.196,3.058,0.752,1.511,5.811,1.252,3.196,0,139,78,478,22,928,2663,2617,2698,1609
standard,learner+reckless,none,无策略,3000,0.4483,0.142,3.218,3.186,0.701,1.506,5.834,1.246,3.218,0,134,82,438,23,978,2579,2742,2715,1617
standard,learner+safe,none,无策略,3000,0.4987,0.177,3.364,3.258,0.635,1.416,5.846,1.883,3.364,0,108,77,457,14,848,2706,2750,2922,1714
standard,reckless+reckless,none,无策略,3000,0.332,0.0893,2.824,2.354,0.965,1.835,5.698,0.0,2.824,0,195,90,757,32,930,2356,2396,2309,1411
standard,reckless+safe,none,无策略,3000,0.5117,0.168,3.375,3.395,0.565,1.392,5.862,1.851,3.375,0,120,64,401,7,873,2694,2747,3013,1670
standard,safe+safe,none,无策略,3000,0.5037,0.171,3.371,3.279,0.618,1.417,5.852,1.883,3.371,0,122,71,431,6,859,2718,2697,2982,1716
teaching,balanced+balanced,none,无策略,3000,0.5587,0.21,3.553,4.542,0.247,1.242,5.927,2.129,3.553,0,54,98,189,2,981,2946,2835,3111,1766
challenge,balanced+balanced,none,无策略,3000,0.2613,0.0323,2.724,0.754,0.982,2.29,6.528,1.315,2.724,0,219,259,1543,7,188,2385,2179,2267,1340
standard,balanced+balanced,stable_management,稳健管理,3000,0.5137,0.201,3.438,4.874,0.589,1.399,5.909,1.884,3.438,0,26,192,128,37,1076,2819,2747,3001,1746
standard,balanced+balanced,efficiency_first,效率优先,3000,0.459,0.2797,4.133,3.423,0.994,1.273,5.755,1.862,3.337,0,57,53,343,243,927,2702,2641,3042,1625
standard,balanced+balanced,standards_first,规范先行,3000,0.5297,0.1987,3.402,3.151,0.547,1.269,5.774,1.832,3.402,0,155,5,611,12,628,2718,2695,3116,1678
standard,balanced+balanced,risk_isolation,风险隔离,3000,0.5267,0.1787,3.525,3.683,0.456,1.257,5.901,2.172,3.525,0,0,102,277,3,1038,2896,2763,3102,1814
