mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,none,无策略,E01,未佩戴护目镜,1038,0.1898,0.4836,0.131,0.1956,0.0,0.0
standard,balanced+balanced,none,无策略,E02,试剂瓶标签模糊,1045,0.1694,0.4603,0.1531,0.2172,0.0,0.0
standard,balanced+balanced,none,无策略,E03,实验台杂乱,1515,0.1716,0.4323,0.1743,0.2218,0.0,0.0
standard,balanced+balanced,none,无策略,E04,废液桶未及时封口,907,0.3065,0.323,0.2459,0.1246,0.0,0.0
standard,balanced+balanced,none,无策略,E05,挥发性溶剂在开放环境中转移,1270,0.2268,0.3898,0.1913,0.1921,0.0,0.0
standard,balanced+balanced,none,无策略,E06,有机溶剂附近存在火源,948,0.289,0.1814,0.3987,0.1308,0.0,0.0
standard,balanced+balanced,none,无策略,E07,地面少量液体洒漏,585,0.2017,0.3983,0.1658,0.2342,0.0,0.0
standard,balanced+balanced,none,无策略,E08,玻璃器皿出现裂纹,1672,0.2661,0.4187,0.1603,0.1549,0.0,0.0
standard,balanced+balanced,none,无策略,E09,气瓶未固定,558,0.2384,0.4624,0.1559,0.1434,0.0,0.0
standard,balanced+balanced,none,无策略,E10,通风橱内堆放过多物品,803,0.2354,0.3686,0.254,0.142,0.0,0.0
standard,balanced+balanced,none,无策略,E11,废液混放产生异常气味,936,0.203,0.375,0.2233,0.1987,0.0,0.0
standard,balanced+balanced,none,无策略,E12,加热装置无人值守,1186,0.3179,0.2268,0.3575,0.0978,0.0,0.0
standard,balanced+balanced,none,无策略,E13,皮肤接触腐蚀性液体,1281,0.2264,0.4692,0.0,0.0,0.3044,0.0
standard,balanced+balanced,none,无策略,E14,容器内压力异常升高,1153,0.3244,0.1613,0.4206,0.0937,0.0,0.0
standard,balanced+balanced,none,无策略,E15,实验台出现小型明火,807,0.4089,0.2404,0.0,0.0,0.3507,0.0
standard,balanced+balanced,none,无策略,E16,刺激性气味明显增强,1737,0.3921,0.2429,0.323,0.042,0.0,0.0
standard,balanced+expert,none,无策略,E01,未佩戴护目镜,1037,0.1929,0.4995,0.1572,0.1504,0.0,0.0
standard,balanced+expert,none,无策略,E02,试剂瓶标签模糊,1060,0.1858,0.45,0.167,0.1972,0.0,0.0
standard,balanced+expert,none,无策略,E03,实验台杂乱,1534,0.191,0.4205,0.1773,0.2112,0.0,0.0
standard,balanced+expert,none,无策略,E04,废液桶未及时封口,926,0.3326,0.3153,0.2354,0.1166,0.0,0.0
standard,balanced+expert,none,无策略,E05,挥发性溶剂在开放环境中转移,1258,0.2321,0.3665,0.1908,0.2107,0.0,0.0
standard,balanced+expert,none,无策略,E06,有机溶剂附近存在火源,928,0.2716,0.1724,0.4332,0.1228,0.0,0.0
standard,balanced+expert,none,无策略,E07,地面少量液体洒漏,640,0.2,0.3875,0.2,0.2125,0.0,0.0
standard,balanced+expert,none,无策略,E08,玻璃器皿出现裂纹,1581,0.2694,0.4067,0.179,0.1448,0.0,0.0
standard,balanced+expert,none,无策略,E09,气瓶未固定,546,0.2326,0.4963,0.1374,0.1337,0.0,0.0
standard,balanced+expert,none,无策略,E10,通风橱内堆放过多物品,828,0.2476,0.3635,0.2621,0.1268,0.0,0.0
standard,balanced+expert,none,无策略,E11,废液混放产生异常气味,904,0.2024,0.3529,0.2046,0.24,0.0,0.0
standard,balanced+expert,none,无策略,E12,加热装置无人值守,1176,0.307,0.2389,0.3495,0.1046,0.0,0.0
standard,balanced+expert,none,无策略,E13,皮肤接触腐蚀性液体,1267,0.2344,0.4507,0.0,0.0,0.3149,0.0
standard,balanced+expert,none,无策略,E14,容器内压力异常升高,1172,0.3532,0.1826,0.3669,0.0973,0.0,0.0
standard,balanced+expert,none,无策略,E15,实验台出现小型明火,812,0.4286,0.2266,0.0,0.0,0.3448,0.0
standard,balanced+expert,none,无策略,E16,刺激性气味明显增强,1756,0.3798,0.2449,0.32,0.0552,0.0,0.0
standard,balanced+learner,none,无策略,E01,未佩戴护目镜,1009,0.1923,0.4698,0.1596,0.1784,0.0,0.0
standard,balanced+learner,none,无策略,E02,试剂瓶标签模糊,1027,0.1801,0.4119,0.1685,0.2395,0.0,0.0
standard,balanced+learner,none,无策略,E03,实验台杂乱,1533,0.1853,0.426,0.184,0.2048,0.0,0.0
standard,balanced+learner,none,无策略,E04,废液桶未及时封口,946,0.3214,0.3097,0.2283,0.1406,0.0,0.0
standard,balanced+learner,none,无策略,E05,挥发性溶剂在开放环境中转移,1262,0.2266,0.4049,0.1854,0.183,0.0,0.0
standard,balanced+learner,none,无策略,E06,有机溶剂附近存在火源,941,0.2997,0.1828,0.4155,0.102,0.0,0.0
standard,balanced+learner,none,无策略,E07,地面少量液体洒漏,617,0.2496,0.3614,0.1734,0.2156,0.0,0.0
standard,balanced+learner,none,无策略,E08,玻璃器皿出现裂纹,1607,0.2682,0.4175,0.1456,0.1686,0.0,0.0
standard,balanced+learner,none,无策略,E09,气瓶未固定,572,0.2535,0.4545,0.1521,0.1399,0.0,0.0
standard,balanced+learner,none,无策略,E10,通风橱内堆放过多物品,822,0.247,0.3333,0.292,0.1277,0.0,0.0
standard,balanced+learner,none,无策略,E11,废液混放产生异常气味,897,0.2185,0.3512,0.2341,0.1962,0.0,0.0
standard,balanced+learner,none,无策略,E12,加热装置无人值守,1165,0.3193,0.2403,0.3622,0.0781,0.0,0.0
standard,balanced+learner,none,无策略,E13,皮肤接触腐蚀性液体,1302,0.2197,0.4631,0.0,0.0,0.3172,0.0
standard,balanced+learner,none,无策略,E14,容器内压力异常升高,1194,0.3367,0.1692,0.4054,0.0888,0.0,0.0
standard,balanced+learner,none,无策略,E15,实验台出现小型明火,801,0.4157,0.2235,0.0,0.0,0.3608,0.0
standard,balanced+learner,none,无策略,E16,刺激性气味明显增强,1720,0.3831,0.236,0.3267,0.0541,0.0,0.0
standard,balanced+reckless,none,无策略,E01,未佩戴护目镜,1001,0.2048,0.4855,0.1489,0.1608,0.0,0.0
standard,balanced+reckless,none,无策略,E02,试剂瓶标签模糊,1051,0.1713,0.4244,0.1741,0.2303,0.0,0.0
standard,balanced+reckless,none,无策略,E03,实验台杂乱,1522,0.2011,0.3903,0.1912,0.2175,0.0,0.0
standard,balanced+reckless,none,无策略,E04,废液桶未及时封口,896,0.3605,0.2935,0.2065,0.1395,0.0,0.0
standard,balanced+reckless,none,无策略,E05,挥发性溶剂在开放环境中转移,1288,0.2477,0.4006,0.1755,0.1762,0.0,0.0
standard,balanced+reckless,none,无策略,E06,有机溶剂附近存在火源,909,0.3025,0.1848,0.4048,0.1078,0.0,0.0
standard,balanced+reckless,none,无策略,E07,地面少量液体洒漏,590,0.2288,0.3271,0.2373,0.2068,0.0,0.0
standard,balanced+reckless,none,无策略,E08,玻璃器皿出现裂纹,1571,0.2648,0.4042,0.1591,0.1719,0.0,0.0
standard,balanced+reckless,none,无策略,E09,气瓶未固定,603,0.2968,0.4279,0.1493,0.126,0.0,0.0
standard,balanced+reckless,none,无策略,E10,通风橱内堆放过多物品,821,0.2582,0.3106,0.2911,0.1401,0.0,0.0
standard,balanced+reckless,none,无策略,E11,废液混放产生异常气味,903,0.2148,0.3488,0.2281,0.2082,0.0,0.0
standard,balanced+reckless,none,无策略,E12,加热装置无人值守,1194,0.335,0.2211,0.3518,0.0921,0.0,0.0
standard,balanced+reckless,none,无策略,E13,皮肤接触腐蚀性液体,1309,0.249,0.4439,0.0,0.0,0.3071,0.0
standard,balanced+reckless,none,无策略,E14,容器内压力异常升高,1182,0.3376,0.1726,0.4162,0.0736,0.0,0.0
standard,balanced+reckless,none,无策略,E15,实验台出现小型明火,834,0.3981,0.2446,0.0,0.0,0.3573,0.0
standard,balanced+reckless,none,无策略,E16,刺激性气味明显增强,1787,0.3979,0.2345,0.3251,0.0425,0.0,0.0
standard,balanced+safe,none,无策略,E01,未佩戴护目镜,982,0.1976,0.4552,0.1405,0.2067,0.0,0.0
standard,balanced+safe,none,无策略,E02,试剂瓶标签模糊,991,0.1766,0.4581,0.1615,0.2038,0.0,0.0
