mode,team,strategy_id,strategy_name,task_id,task_name,appearances,completions,completion_rate,reward
standard,balanced+balanced,none,无策略,T01,配制酸溶液,1474,992,0.673,recover_safety
standard,balanced+balanced,none,无策略,T02,有机溶剂转移,1497,830,0.5544,clear_hazard
standard,balanced+balanced,none,无策略,T03,加热回流,1470,797,0.5422,reduce_upgrade
standard,balanced+balanced,none,无策略,T04,废液分类处理,1483,899,0.6062,clear_hazard
standard,balanced+balanced,none,无策略,T05,气瓶连接使用,1461,814,0.5572,reduce_upgrade
standard,balanced+balanced,none,无策略,T06,通风橱内称量与转移,1430,750,0.5245,gain_redraw
standard,balanced+balanced,none,无策略,T07,清理实验台,1413,884,0.6256,recover_safety
standard,balanced+balanced,none,无策略,T08,紧急情况报告与撤离,1417,928,0.6549,control_choice
standard,balanced+balanced,none,无策略,T09,危险化学品领用与登记,1444,774,0.536,reduce_upgrade
standard,balanced+balanced,none,无策略,T10,低温/高温设备使用,1496,935,0.625,recover_safety
standard,balanced+balanced,none,无策略,T11,旋蒸或离心设备操作,1447,866,0.5985,gain_redraw
standard,balanced+balanced,none,无策略,T12,实验结束后的交接检查,1409,850,0.6033,clear_hazard
standard,balanced+expert,none,无策略,T01,配制酸溶液,1467,983,0.6701,recover_safety
standard,balanced+expert,none,无策略,T02,有机溶剂转移,1378,780,0.566,clear_hazard
standard,balanced+expert,none,无策略,T03,加热回流,1489,807,0.542,reduce_upgrade
standard,balanced+expert,none,无策略,T04,废液分类处理,1451,895,0.6168,clear_hazard
standard,balanced+expert,none,无策略,T05,气瓶连接使用,1396,766,0.5487,reduce_upgrade
standard,balanced+expert,none,无策略,T06,通风橱内称量与转移,1456,810,0.5563,gain_redraw
standard,balanced+expert,none,无策略,T07,清理实验台,1472,918,0.6236,recover_safety
standard,balanced+expert,none,无策略,T08,紧急情况报告与撤离,1436,901,0.6274,control_choice
standard,balanced+expert,none,无策略,T09,危险化学品领用与登记,1490,788,0.5289,reduce_upgrade
standard,balanced+expert,none,无策略,T10,低温/高温设备使用,1492,943,0.632,recover_safety
standard,balanced+expert,none,无策略,T11,旋蒸或离心设备操作,1430,844,0.5902,gain_redraw
standard,balanced+expert,none,无策略,T12,实验结束后的交接检查,1468,850,0.579,clear_hazard
standard,balanced+learner,none,无策略,T01,配制酸溶液,1470,960,0.6531,recover_safety
standard,balanced+learner,none,无策略,T02,有机溶剂转移,1498,840,0.5607,clear_hazard
standard,balanced+learner,none,无策略,T03,加热回流,1421,787,0.5538,reduce_upgrade
standard,balanced+learner,none,无策略,T04,废液分类处理,1435,863,0.6014,clear_hazard
standard,balanced+learner,none,无策略,T05,气瓶连接使用,1449,790,0.5452,reduce_upgrade
standard,balanced+learner,none,无策略,T06,通风橱内称量与转移,1464,753,0.5143,gain_redraw
standard,balanced+learner,none,无策略,T07,清理实验台,1476,939,0.6362,recover_safety
standard,balanced+learner,none,无策略,T08,紧急情况报告与撤离,1443,927,0.6424,control_choice
standard,balanced+learner,none,无策略,T09,危险化学品领用与登记,1466,760,0.5184,reduce_upgrade
