mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,none,无策略,stop,暂停当前步骤,4507,0.1287
standard,balanced+balanced,none,无策略,ppe,补全PPE,1113,0.0318
standard,balanced+balanced,none,无策略,label,核对标签与记录,2739,0.0782
standard,balanced+balanced,none,无策略,hood,使用通风橱,2639,0.0754
standard,balanced+balanced,none,无策略,waste,分类回收,1201,0.0343
standard,balanced+balanced,none,无策略,cleanup,隔离与清理,2338,0.0668
standard,balanced+balanced,none,无策略,emergency,使用应急设施,3256,0.093
standard,balanced+balanced,none,无策略,report,上报负责人,4418,0.1262
standard,balanced+balanced,none,无策略,shutdown,切断热源/电源,4469,0.1276
standard,balanced+balanced,none,无策略,inspect,检查并更换器材,2818,0.0805
standard,balanced+balanced,none,无策略,secure,固定与规范连接,1614,0.0461
standard,balanced+balanced,none,无策略,evacuate,撤离与警戒,3904,0.1115
standard,balanced+expert,none,无策略,stop,暂停当前步骤,4477,0.1277
standard,balanced+expert,none,无策略,ppe,补全PPE,1040,0.0297
standard,balanced+expert,none,无策略,label,核对标签与记录,2785,0.0794
standard,balanced+expert,none,无策略,hood,使用通风橱,2653,0.0757
standard,balanced+expert,none,无策略,waste,分类回收,1110,0.0317
standard,balanced+expert,none,无策略,cleanup,隔离与清理,2446,0.0698
standard,balanced+expert,none,无策略,emergency,使用应急设施,3272,0.0933
standard,balanced+expert,none,无策略,report,上报负责人,4530,0.1292
standard,balanced+expert,none,无策略,shutdown,切断热源/电源,4510,0.1286
standard,balanced+expert,none,无策略,inspect,检查并更换器材,2823,0.0805
standard,balanced+expert,none,无策略,secure,固定与规范连接,1534,0.0438
standard,balanced+expert,none,无策略,evacuate,撤离与警戒,3880,0.1107
standard,balanced+learner,none,无策略,stop,暂停当前步骤,4513,0.1288
standard,balanced+learner,none,无策略,ppe,补全PPE,1070,0.0305
standard,balanced+learner,none,无策略,label,核对标签与记录,2697,0.0769
standard,balanced+learner,none,无策略,hood,使用通风橱,2554,0.0729
standard,balanced+learner,none,无策略,waste,分类回收,1093,0.0312
standard,balanced+learner,none,无策略,cleanup,隔离与清理,2295,0.0655
standard,balanced+learner,none,无策略,emergency,使用应急设施,3434,0.098
standard,balanced+learner,none,无策略,report,上报负责人,4549,0.1298
standard,balanced+learner,none,无策略,shutdown,切断热源/电源,4551,0.1298
standard,balanced+learner,none,无策略,inspect,检查并更换器材,2785,0.0795
standard,balanced+learner,none,无策略,secure,固定与规范连接,1578,0.045
standard,balanced+learner,none,无策略,evacuate,撤离与警戒,3933,0.1122
standard,balanced+reckless,none,无策略,stop,暂停当前步骤,4521,0.1288
standard,balanced+reckless,none,无策略,ppe,补全PPE,1084,0.0309
standard,balanced+reckless,none,无策略,label,核对标签与记录,2792,0.0796
standard,balanced+reckless,none,无策略,hood,使用通风橱,2703,0.077
standard,balanced+reckless,none,无策略,waste,分类回收,1189,0.0339
standard,balanced+reckless,none,无策略,cleanup,隔离与清理,2449,0.0698
standard,balanced+reckless,none,无策略,emergency,使用应急设施,3267,0.0931
standard,balanced+reckless,none,无策略,report,上报负责人,4260,0.1214
standard,balanced+reckless,none,无策略,shutdown,切断热源/电源,4437,0.1264
standard,balanced+reckless,none,无策略,inspect,检查并更换器材,2895,0.0825
standard,balanced+reckless,none,无策略,secure,固定与规范连接,1613,0.046
standard,balanced+reckless,none,无策略,evacuate,撤离与警戒,3886,0.1107
standard,balanced+safe,none,无策略,stop,暂停当前步骤,4628,0.1321
standard,balanced+safe,none,无策略,ppe,补全PPE,1042,0.0298
standard,balanced+safe,none,无策略,label,核对标签与记录,2603,0.0743
standard,balanced+safe,none,无策略,hood,使用通风橱,2520,0.072
