mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,none,无策略,E01,未佩戴护目镜,698,0.192,0.4728,0.1619,0.1734,0.0,0.0
standard,balanced+balanced,none,无策略,E02,试剂瓶标签模糊,917,0.1549,0.3893,0.2039,0.2519,0.0,0.0
standard,balanced+balanced,none,无策略,E03,实验台杂乱,904,0.177,0.4137,0.1903,0.219,0.0,0.0
standard,balanced+balanced,none,无策略,E04,废液桶未及时封口,732,0.3866,0.321,0.1899,0.1025,0.0,0.0
standard,balanced+balanced,none,无策略,E05,挥发性溶剂在开放环境中转移,952,0.2658,0.3592,0.1817,0.1933,0.0,0.0
standard,balanced+balanced,none,无策略,E06,有机溶剂附近存在火源,682,0.2537,0.2023,0.4223,0.1217,0.0,0.0
standard,balanced+balanced,none,无策略,E07,地面少量液体洒漏,395,0.2304,0.3924,0.1975,0.1797,0.0,0.0
standard,balanced+balanced,none,无策略,E08,玻璃器皿出现裂纹,1326,0.2549,0.3869,0.1765,0.1817,0.0,0.0
standard,balanced+balanced,none,无策略,E09,气瓶未固定,398,0.2563,0.4397,0.1759,0.1281,0.0,0.0
standard,balanced+balanced,none,无策略,E10,通风橱内堆放过多物品,609,0.2972,0.3399,0.2627,0.1002,0.0,0.0
standard,balanced+balanced,none,无策略,E11,废液混放产生异常气味,676,0.2145,0.3979,0.1997,0.1879,0.0,0.0
standard,balanced+balanced,none,无策略,E12,加热装置无人值守,570,0.3193,0.2544,0.3404,0.086,0.0,0.0
standard,balanced+balanced,none,无策略,E13,皮肤接触腐蚀性液体,860,0.243,0.4419,0.0,0.0,0.3151,0.0
standard,balanced+balanced,none,无策略,E14,容器内压力异常升高,330,0.3303,0.1455,0.4758,0.0485,0.0,0.0
standard,balanced+balanced,none,无策略,E15,实验台出现小型明火,548,0.4069,0.2737,0.0,0.0,0.3193,0.0
standard,balanced+balanced,none,无策略,E16,刺激性气味明显增强,1146,0.3831,0.2304,0.3316,0.055,0.0,0.0
standard,balanced+balanced,none,无策略,E17,危化品领用记录与实物不一致,1100,0.3664,0.2045,0.3309,0.0982,0.0,0.0
standard,balanced+balanced,none,无策略,E18,实验结束后设备未断电且记录缺失,607,0.2768,0.1549,0.4465,0.1219,0.0,0.0
standard,balanced+balanced,none,无策略,E19,装置软管连接松动并有渗漏,651,0.2596,0.4224,0.2074,0.1106,0.0,0.0
