mode,team,strategy_id,strategy_name,task_id,task_name,appearances,completions,completion_rate,reward
standard,balanced+balanced,none,无策略,T01,配制酸溶液,1441,905,0.628,recover_safety
standard,balanced+balanced,none,无策略,T02,有机溶剂转移,1440,830,0.5764,clear_hazard
standard,balanced+balanced,none,无策略,T03,加热回流,1459,776,0.5319,reduce_upgrade
standard,balanced+balanced,none,无策略,T04,废液分类处理,1498,961,0.6415,clear_hazard
standard,balanced+balanced,none,无策略,T05,气瓶连接使用,1426,806,0.5652,reduce_upgrade
standard,balanced+balanced,none,无策略,T06,通风橱内称量与转移,1505,851,0.5654,gain_redraw
standard,balanced+balanced,none,无策略,T07,清理实验台,1436,677,0.4714,recover_safety
standard,balanced+balanced,none,无策略,T08,紧急情况报告与撤离,1444,914,0.633,control_choice
standard,balanced+balanced,none,无策略,T09,危险化学品领用与登记,1458,866,0.594,reduce_upgrade
standard,balanced+balanced,none,无策略,T10,低温/高温设备使用,1494,910,0.6091,recover_safety
standard,balanced+balanced,none,无策略,T11,旋蒸或离心设备操作,1476,877,0.5942,gain_redraw
standard,balanced+balanced,none,无策略,T12,实验结束后的交接检查,1431,827,0.5779,clear_hazard
standard,balanced+expert,none,无策略,T01,配制酸溶液,1419,901,0.635,recover_safety
standard,balanced+expert,none,无策略,T02,有机溶剂转移,1410,848,0.6014,clear_hazard
standard,balanced+expert,none,无策略,T03,加热回流,1488,784,0.5269,reduce_upgrade
standard,balanced+expert,none,无策略,T04,废液分类处理,1501,916,0.6103,clear_hazard
standard,balanced+expert,none,无策略,T05,气瓶连接使用,1464,827,0.5649,reduce_upgrade
standard,balanced+expert,none,无策略,T06,通风橱内称量与转移,1453,790,0.5437,gain_redraw
standard,balanced+expert,none,无策略,T07,清理实验台,1470,700,0.4762,recover_safety
standard,balanced+expert,none,无策略,T08,紧急情况报告与撤离,1486,930,0.6258,control_choice
standard,balanced+expert,none,无策略,T09,危险化学品领用与登记,1481,902,0.609,reduce_upgrade
standard,balanced+expert,none,无策略,T10,低温/高温设备使用,1443,862,0.5974,recover_safety
standard,balanced+expert,none,无策略,T11,旋蒸或离心设备操作,1474,902,0.6119,gain_redraw
standard,balanced+expert,none,无策略,T12,实验结束后的交接检查,1441,831,0.5767,clear_hazard
standard,balanced+learner,none,无策略,T01,配制酸溶液,1434,860,0.5997,recover_safety
standard,balanced+learner,none,无策略,T02,有机溶剂转移,1469,860,0.5854,clear_hazard
standard,balanced+learner,none,无策略,T03,加热回流,1447,791,0.5466,reduce_upgrade
standard,balanced+learner,none,无策略,T04,废液分类处理,1457,857,0.5882,clear_hazard
standard,balanced+learner,none,无策略,T05,气瓶连接使用,1468,829,0.5647,reduce_upgrade
standard,balanced+learner,none,无策略,T06,通风橱内称量与转移,1470,788,0.5361,gain_redraw
standard,balanced+learner,none,无策略,T07,清理实验台,1444,695,0.4813,recover_safety
standard,balanced+learner,none,无策略,T08,紧急情况报告与撤离,1479,959,0.6484,control_choice
standard,balanced+learner,none,无策略,T09,危险化学品领用与登记,1488,888,0.5968,reduce_upgrade
standard,balanced+learner,none,无策略,T10,低温/高温设备使用,1468,842,0.5736,recover_safety
standard,balanced+learner,none,无策略,T11,旋蒸或离心设备操作,1481,881,0.5949,gain_redraw
standard,balanced+learner,none,无策略,T12,实验结束后的交接检查,1421,782,0.5503,clear_hazard
standard,balanced+reckless,none,无策略,T01,配制酸溶液,1473,922,0.6259,recover_safety
standard,balanced+reckless,none,无策略,T02,有机溶剂转移,1496,859,0.5742,clear_hazard
standard,balanced+reckless,none,无策略,T03,加热回流,1478,832,0.5629,reduce_upgrade
standard,balanced+reckless,none,无策略,T04,废液分类处理,1434,866,0.6039,clear_hazard
standard,balanced+reckless,none,无策略,T05,气瓶连接使用,1489,871,0.585,reduce_upgrade
standard,balanced+reckless,none,无策略,T06,通风橱内称量与转移,1433,770,0.5373,gain_redraw
standard,balanced+reckless,none,无策略,T07,清理实验台,1511,666,0.4408,recover_safety
standard,balanced+reckless,none,无策略,T08,紧急情况报告与撤离,1460,936,0.6411,control_choice
standard,balanced+reckless,none,无策略,T09,危险化学品领用与登记,1430,836,0.5846,reduce_upgrade
standard,balanced+reckless,none,无策略,T10,低温/高温设备使用,1456,861,0.5913,recover_safety
standard,balanced+reckless,none,无策略,T11,旋蒸或离心设备操作,1418,846,0.5966,gain_redraw
standard,balanced+reckless,none,无策略,T12,实验结束后的交接检查,1470,812,0.5524,clear_hazard
standard,balanced+safe,none,无策略,T01,配制酸溶液,1408,883,0.6271,recover_safety
standard,balanced+safe,none,无策略,T02,有机溶剂转移,1494,903,0.6044,clear_hazard
standard,balanced+safe,none,无策略,T03,加热回流,1453,774,0.5327,reduce_upgrade
standard,balanced+safe,none,无策略,T04,废液分类处理,1526,951,0.6232,clear_hazard
standard,balanced+safe,none,无策略,T05,气瓶连接使用,1440,821,0.5701,reduce_upgrade
standard,balanced+safe,none,无策略,T06,通风橱内称量与转移,1452,821,0.5654,gain_redraw
standard,balanced+safe,none,无策略,T07,清理实验台,1460,695,0.476,recover_safety
standard,balanced+safe,none,无策略,T08,紧急情况报告与撤离,1433,868,0.6057,control_choice
standard,balanced+safe,none,无策略,T09,危险化学品领用与登记,1465,874,0.5966,reduce_upgrade
standard,balanced+safe,none,无策略,T10,低温/高温设备使用,1460,892,0.611,recover_safety
standard,balanced+safe,none,无策略,T11,旋蒸或离心设备操作,1454,893,0.6142,gain_redraw
standard,balanced+safe,none,无策略,T12,实验结束后的交接检查,1467,841,0.5733,clear_hazard
standard,expert+expert,none,无策略,T01,配制酸溶液,1472,947,0.6433,recover_safety
standard,expert+expert,none,无策略,T02,有机溶剂转移,1478,875,0.592,clear_hazard
standard,expert+expert,none,无策略,T03,加热回流,1493,784,0.5251,reduce_upgrade
standard,expert+expert,none,无策略,T04,废液分类处理,1459,911,0.6244,clear_hazard
standard,expert+expert,none,无策略,T05,气瓶连接使用,1488,856,0.5753,reduce_upgrade
standard,expert+expert,none,无策略,T06,通风橱内称量与转移,1462,825,0.5643,gain_redraw
standard,expert+expert,none,无策略,T07,清理实验台,1416,638,0.4506,recover_safety
standard,expert+expert,none,无策略,T08,紧急情况报告与撤离,1484,921,0.6206,control_choice
standard,expert+expert,none,无策略,T09,危险化学品领用与登记,1442,848,0.5881,reduce_upgrade
standard,expert+expert,none,无策略,T10,低温/高温设备使用,1398,816,0.5837,recover_safety
standard,expert+expert,none,无策略,T11,旋蒸或离心设备操作,1474,861,0.5841,gain_redraw
standard,expert+expert,none,无策略,T12,实验结束后的交接检查,1414,831,0.5877,clear_hazard
standard,expert+learner,none,无策略,T01,配制酸溶液,1444,957,0.6627,recover_safety
standard,expert+learner,none,无策略,T02,有机溶剂转移,1473,858,0.5825,clear_hazard
standard,expert+learner,none,无策略,T03,加热回流,1493,813,0.5445,reduce_upgrade
standard,expert+learner,none,无策略,T04,废液分类处理,1492,901,0.6039,clear_hazard
standard,expert+learner,none,无策略,T05,气瓶连接使用,1435,825,0.5749,reduce_upgrade
standard,expert+learner,none,无策略,T06,通风橱内称量与转移,1429,781,0.5465,gain_redraw
standard,expert+learner,none,无策略,T07,清理实验台,1511,729,0.4825,recover_safety
standard,expert+learner,none,无策略,T08,紧急情况报告与撤离,1418,880,0.6206,control_choice
standard,expert+learner,none,无策略,T09,危险化学品领用与登记,1499,923,0.6157,reduce_upgrade
standard,expert+learner,none,无策略,T10,低温/高温设备使用,1465,873,0.5959,recover_safety
standard,expert+learner,none,无策略,T11,旋蒸或离心设备操作,1470,921,0.6265,gain_redraw
standard,expert+learner,none,无策略,T12,实验结束后的交接检查,1417,828,0.5843,clear_hazard
standard,expert+reckless,none,无策略,T01,配制酸溶液,1409,917,0.6508,recover_safety
standard,expert+reckless,none,无策略,T02,有机溶剂转移,1421,775,0.5454,clear_hazard
standard,expert+reckless,none,无策略,T03,加热回流,1470,827,0.5626,reduce_upgrade
standard,expert+reckless,none,无策略,T04,废液分类处理,1450,899,0.62,clear_hazard
standard,expert+reckless,none,无策略,T05,气瓶连接使用,1470,806,0.5483,reduce_upgrade
standard,expert+reckless,none,无策略,T06,通风橱内称量与转移,1448,811,0.5601,gain_redraw
standard,expert+reckless,none,无策略,T07,清理实验台,1495,693,0.4635,recover_safety
standard,expert+reckless,none,无策略,T08,紧急情况报告与撤离,1522,975,0.6406,control_choice
standard,expert+reckless,none,无策略,T09,危险化学品领用与登记,1420,874,0.6155,reduce_upgrade
standard,expert+reckless,none,无策略,T10,低温/高温设备使用,1453,845,0.5816,recover_safety
standard,expert+reckless,none,无策略,T11,旋蒸或离心设备操作,1451,876,0.6037,gain_redraw
standard,expert+reckless,none,无策略,T12,实验结束后的交接检查,1453,848,0.5836,clear_hazard
standard,expert+safe,none,无策略,T01,配制酸溶液,1472,926,0.6291,recover_safety
standard,expert+safe,none,无策略,T02,有机溶剂转移,1465,857,0.585,clear_hazard
standard,expert+safe,none,无策略,T03,加热回流,1439,776,0.5393,reduce_upgrade
standard,expert+safe,none,无策略,T04,废液分类处理,1482,909,0.6134,clear_hazard
standard,expert+safe,none,无策略,T05,气瓶连接使用,1506,882,0.5857,reduce_upgrade
standard,expert+safe,none,无策略,T06,通风橱内称量与转移,1443,833,0.5773,gain_redraw
standard,expert+safe,none,无策略,T07,清理实验台,1467,714,0.4867,recover_safety
standard,expert+safe,none,无策略,T08,紧急情况报告与撤离,1438,906,0.63,control_choice
standard,expert+safe,none,无策略,T09,危险化学品领用与登记,1416,879,0.6208,reduce_upgrade
standard,expert+safe,none,无策略,T10,低温/高温设备使用,1446,846,0.5851,recover_safety
standard,expert+safe,none,无策略,T11,旋蒸或离心设备操作,1469,891,0.6065,gain_redraw
standard,expert+safe,none,无策略,T12,实验结束后的交接检查,1480,808,0.5459,clear_hazard
standard,learner+learner,none,无策略,T01,配制酸溶液,1448,914,0.6312,recover_safety
standard,learner+learner,none,无策略,T02,有机溶剂转移,1476,812,0.5501,clear_hazard
