mode,team,strategy_id,strategy_name,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,none,无策略,3000,0.5053,0.182,3.4,3.631,0.454,1.291,5.871,1.195,3.4,0,104,104,305,10,961,2889,2492,3091,1728
standard,balanced+expert,none,无策略,3000,0.5077,0.1753,3.398,3.603,0.448,1.267,5.868,1.291,3.398,0,73,107,335,9,953,2871,2463,3167,1692
standard,balanced+learner,none,无策略,3000,0.4833,0.1627,3.344,3.539,0.463,1.294,5.872,1.234,3.344,0,90,101,317,5,1037,2806,2397,3160,1669
standard,balanced+reckless,none,无策略,3000,0.4907,0.1663,3.359,3.662,0.427,1.292,5.877,1.219,3.359,0,82,96,308,7,1035,2803,2449,3209,1616
standard,balanced+safe,none,无策略,3000,0.5043,0.184,3.405,3.549,0.49,1.274,5.865,1.213,3.405,0,82,86,336,13,970,2961,2470,3071,1714
standard,expert+expert,none,无策略,3000,0.4917,0.1753,3.371,3.521,0.477,1.303,5.859,1.333,3.371,0,97,100,331,12,985,2919,2401,3107,1686
standard,expert+learner,none,无策略,3000,0.5113,0.186,3.43,3.649,0.467,1.257,5.872,1.288,3.43,0,71,96,327,13,959,2842,2559,3186,1702
standard,expert+reckless,none,无策略,3000,0.5013,0.191,3.382,3.651,0.467,1.237,5.851,1.289,3.382,0,91,109,331,7,958,2841,2455,3163,1687
standard,expert+safe,none,无策略,3000,0.5053,0.1793,3.409,3.542,0.471,1.27,5.865,1.334,3.409,0,71,94,334,11,974,2865,2486,3152,1724
standard,learner+learner,none,无策略,3000,0.4527,0.1417,3.212,3.314,0.574,1.415,5.832,0.876,3.212,0,89,117,392,16,1028,2804,2355,2907,1569
standard,learner+reckless,none,无策略,3000,0.461,0.1617,3.258,3.451,0.544,1.376,5.839,0.831,3.258,0,106,110,361,20,1020,2756,2392,3046,1579
standard,learner+safe,none,无策略,3000,0.502,0.173,3.377,3.479,0.503,1.299,5.866,1.277,3.377,0,94,92,352,7,949,2807,2482,3094,1749
standard,reckless+reckless,none,无策略,3000,0.415,0.1303,3.085,3.021,0.684,1.519,5.785,0.0,3.085,0,132,113,509,17,984,2664,2281,2793,1518
standard,reckless+safe,none,无策略,3000,0.5043,0.1827,3.38,3.696,0.443,1.253,5.863,1.211,3.38,0,91,102,320,2,972,2817,2548,3133,1643
standard,safe+safe,none,无策略,3000,0.4947,0.1833,3.36,3.436,0.532,1.34,5.835,1.265,3.36,0,98,120,401,8,889,2847,2470,3096,1668
teaching,balanced+balanced,none,无策略,3000,0.5043,0.195,3.403,4.478,0.228,1.287,5.897,1.311,3.403,0,57,167,180,4,1079,2968,2443,3125,1673
challenge,balanced+balanced,none,无策略,3000,0.332,0.0573,2.884,1.24,0.719,2.034,6.726,1.098,2.884,0,199,313,1236,5,251,2594,2116,2505,1437
standard,balanced+balanced,stable_management,稳健管理,3000,0.508,0.1997,3.436,5.169,0.439,1.261,5.914,1.215,3.436,0,24,182,81,23,1166,2867,2445,3195,1800
standard,balanced+balanced,efficiency_first,效率优先,3000,0.4657,0.309,4.147,3.714,0.772,1.205,5.77,1.218,3.328,0,60,100,253,188,1002,2787,2477,3097,1622
standard,balanced+balanced,standards_first,规范先行,3000,0.4763,0.1687,3.234,3.086,0.477,1.243,5.732,1.184,3.234,0,164,12,593,21,781,2662,2325,3076,1639
standard,balanced+balanced,risk_isolation,风险隔离,3000,0.4857,0.1837,3.409,3.778,0.433,1.265,5.883,1.289,3.409,0,0,159,269,8,1107,2897,2524,3115,1691
