mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,none,无策略,stop,暂停当前步骤,4515,0.1289
standard,balanced+balanced,none,无策略,ppe,补全PPE,1132,0.0323
standard,balanced+balanced,none,无策略,label,核对标签与记录,2674,0.0764
standard,balanced+balanced,none,无策略,hood,使用通风橱,2705,0.0773
standard,balanced+balanced,none,无策略,waste,分类回收,1207,0.0345
standard,balanced+balanced,none,无策略,cleanup,隔离与清理,2335,0.0667
standard,balanced+balanced,none,无策略,emergency,使用应急设施,3290,0.094
standard,balanced+balanced,none,无策略,report,上报负责人,4437,0.1267
standard,balanced+balanced,none,无策略,shutdown,切断热源/电源,4410,0.1259
standard,balanced+balanced,none,无策略,inspect,检查并更换器材,2807,0.0802
standard,balanced+balanced,none,无策略,secure,固定与规范连接,1526,0.0436
standard,balanced+balanced,none,无策略,evacuate,撤离与警戒,3976,0.1136
standard,balanced+expert,none,无策略,stop,暂停当前步骤,4420,0.1264
standard,balanced+expert,none,无策略,ppe,补全PPE,1022,0.0292
standard,balanced+expert,none,无策略,label,核对标签与记录,2776,0.0794
standard,balanced+expert,none,无策略,hood,使用通风橱,2627,0.0751
standard,balanced+expert,none,无策略,waste,分类回收,1060,0.0303
standard,balanced+expert,none,无策略,cleanup,隔离与清理,2422,0.0693
standard,balanced+expert,none,无策略,emergency,使用应急设施,3217,0.092
standard,balanced+expert,none,无策略,report,上报负责人,4515,0.1291
standard,balanced+expert,none,无策略,shutdown,切断热源/电源,4446,0.1272
standard,balanced+expert,none,无策略,inspect,检查并更换器材,2891,0.0827
standard,balanced+expert,none,无策略,secure,固定与规范连接,1599,0.0457
standard,balanced+expert,none,无策略,evacuate,撤离与警戒,3969,0.1135
standard,balanced+learner,none,无策略,stop,暂停当前步骤,4513,0.1291
standard,balanced+learner,none,无策略,ppe,补全PPE,1001,0.0286
standard,balanced+learner,none,无策略,label,核对标签与记录,2685,0.0768
standard,balanced+learner,none,无策略,hood,使用通风橱,2601,0.0744
standard,balanced+learner,none,无策略,waste,分类回收,1077,0.0308
standard,balanced+learner,none,无策略,cleanup,隔离与清理,2328,0.0666
standard,balanced+learner,none,无策略,emergency,使用应急设施,3374,0.0966
standard,balanced+learner,none,无策略,report,上报负责人,4434,0.1269
standard,balanced+learner,none,无策略,shutdown,切断热源/电源,4512,0.1291
standard,balanced+learner,none,无策略,inspect,检查并更换器材,2740,0.0784
standard,balanced+learner,none,无策略,secure,固定与规范连接,1575,0.0451
standard,balanced+learner,none,无策略,evacuate,撤离与警戒,4104,0.1174
standard,balanced+reckless,none,无策略,stop,暂停当前步骤,4385,0.125
standard,balanced+reckless,none,无策略,ppe,补全PPE,1088,0.031
standard,balanced+reckless,none,无策略,label,核对标签与记录,2754,0.0785
standard,balanced+reckless,none,无策略,hood,使用通风橱,2712,0.0773
standard,balanced+reckless,none,无策略,waste,分类回收,1212,0.0345
standard,balanced+reckless,none,无策略,cleanup,隔离与清理,2469,0.0704
standard,balanced+reckless,none,无策略,emergency,使用应急设施,3259,0.0929
standard,balanced+reckless,none,无策略,report,上报负责人,4297,0.1225
standard,balanced+reckless,none,无策略,shutdown,切断热源/电源,4356,0.1242
standard,balanced+reckless,none,无策略,inspect,检查并更换器材,2853,0.0813
standard,balanced+reckless,none,无策略,secure,固定与规范连接,1643,0.0468
standard,balanced+reckless,none,无策略,evacuate,撤离与警戒,4054,0.1156
standard,balanced+safe,none,无策略,stop,暂停当前步骤,4657,0.1332
standard,balanced+safe,none,无策略,ppe,补全PPE,1029,0.0294
standard,balanced+safe,none,无策略,label,核对标签与记录,2618,0.0749
standard,balanced+safe,none,无策略,hood,使用通风橱,2575,0.0736
standard,balanced+safe,none,无策略,waste,分类回收,1045,0.0299
standard,balanced+safe,none,无策略,cleanup,隔离与清理,2284,0.0653
standard,balanced+safe,none,无策略,emergency,使用应急设施,3353,0.0959
standard,balanced+safe,none,无策略,report,上报负责人,4558,0.1303
standard,balanced+safe,none,无策略,shutdown,切断热源/电源,4546,0.13
standard,balanced+safe,none,无策略,inspect,检查并更换器材,2705,0.0774
standard,balanced+safe,none,无策略,secure,固定与规范连接,1489,0.0426
standard,balanced+safe,none,无策略,evacuate,撤离与警戒,4111,0.1176
standard,expert+expert,none,无策略,stop,暂停当前步骤,4489,0.1284
standard,expert+expert,none,无策略,ppe,补全PPE,1044,0.0299
standard,expert+expert,none,无策略,label,核对标签与记录,2856,0.0817
standard,expert+expert,none,无策略,hood,使用通风橱,2601,0.0744
standard,expert+expert,none,无策略,waste,分类回收,1020,0.0292
standard,expert+expert,none,无策略,cleanup,隔离与清理,2339,0.0669
standard,expert+expert,none,无策略,emergency,使用应急设施,3134,0.0896
standard,expert+expert,none,无策略,report,上报负责人,4555,0.1302
standard,expert+expert,none,无策略,shutdown,切断热源/电源,4515,0.1291
standard,expert+expert,none,无策略,inspect,检查并更换器材,2805,0.0802
standard,expert+expert,none,无策略,secure,固定与规范连接,1512,0.0432
standard,expert+expert,none,无策略,evacuate,撤离与警戒,4104,0.1173
standard,expert+learner,none,无策略,stop,暂停当前步骤,4574,0.1307
standard,expert+learner,none,无策略,ppe,补全PPE,962,0.0275
standard,expert+learner,none,无策略,label,核对标签与记录,2672,0.0763
standard,expert+learner,none,无策略,hood,使用通风橱,2583,0.0738
standard,expert+learner,none,无策略,waste,分类回收,1018,0.0291
standard,expert+learner,none,无策略,cleanup,隔离与清理,2344,0.067
standard,expert+learner,none,无策略,emergency,使用应急设施,3330,0.0951
standard,expert+learner,none,无策略,report,上报负责人,4553,0.1301
standard,expert+learner,none,无策略,shutdown,切断热源/电源,4564,0.1304
standard,expert+learner,none,无策略,inspect,检查并更换器材,2758,0.0788
standard,expert+learner,none,无策略,secure,固定与规范连接,1540,0.044
standard,expert+learner,none,无策略,evacuate,撤离与警戒,4100,0.1171
standard,expert+reckless,none,无策略,stop,暂停当前步骤,4432,0.1268
standard,expert+reckless,none,无策略,ppe,补全PPE,966,0.0276
standard,expert+reckless,none,无策略,label,核对标签与记录,2818,0.0806
standard,expert+reckless,none,无策略,hood,使用通风橱,2665,0.0762
standard,expert+reckless,none,无策略,waste,分类回收,1157,0.0331
standard,expert+reckless,none,无策略,cleanup,隔离与清理,2450,0.0701
standard,expert+reckless,none,无策略,emergency,使用应急设施,3285,0.094
standard,expert+reckless,none,无策略,report,上报负责人,4418,0.1264
standard,expert+reckless,none,无策略,shutdown,切断热源/电源,4315,0.1234
standard,expert+reckless,none,无策略,inspect,检查并更换器材,2918,0.0835
standard,expert+reckless,none,无策略,secure,固定与规范连接,1519,0.0434
standard,expert+reckless,none,无策略,evacuate,撤离与警戒,4019,0.115
standard,expert+safe,none,无策略,stop,暂停当前步骤,4627,0.1322
standard,expert+safe,none,无策略,ppe,补全PPE,1024,0.0293
standard,expert+safe,none,无策略,label,核对标签与记录,2652,0.0758
standard,expert+safe,none,无策略,hood,使用通风橱,2439,0.0697
standard,expert+safe,none,无策略,waste,分类回收,1002,0.0286
standard,expert+safe,none,无策略,cleanup,隔离与清理,2306,0.0659
standard,expert+safe,none,无策略,emergency,使用应急设施,3420,0.0977
standard,expert+safe,none,无策略,report,上报负责人,4594,0.1313
standard,expert+safe,none,无策略,shutdown,切断热源/电源,4635,0.1325
standard,expert+safe,none,无策略,inspect,检查并更换器材,2714,0.0776
standard,expert+safe,none,无策略,secure,固定与规范连接,1425,0.0407
standard,expert+safe,none,无策略,evacuate,撤离与警戒,4154,0.1187
