mode,team,strategy_id,strategy_name,task_id,task_name,appearances,completions,completion_rate,reward
standard,balanced+balanced,none,无策略,T01,配制酸溶液,1465,921,0.6287,recover_safety
standard,balanced+balanced,none,无策略,T02,有机溶剂转移,1471,843,0.5731,clear_hazard
standard,balanced+balanced,none,无策略,T03,加热回流,1469,780,0.531,reduce_upgrade
standard,balanced+balanced,none,无策略,T04,废液分类处理,1505,939,0.6239,clear_hazard
standard,balanced+balanced,none,无策略,T05,气瓶连接使用,1481,830,0.5604,reduce_upgrade
standard,balanced+balanced,none,无策略,T06,通风橱内称量与转移,1418,816,0.5755,gain_redraw
standard,balanced+balanced,none,无策略,T07,清理实验台,1483,872,0.588,recover_safety
standard,balanced+balanced,none,无策略,T08,紧急情况报告与撤离,1451,915,0.6306,control_choice
standard,balanced+balanced,none,无策略,T09,危险化学品领用与登记,1434,846,0.59,reduce_upgrade
standard,balanced+balanced,none,无策略,T10,低温/高温设备使用,1482,869,0.5864,recover_safety
standard,balanced+balanced,none,无策略,T11,旋蒸或离心设备操作,1430,860,0.6014,gain_redraw
standard,balanced+balanced,none,无策略,T12,实验结束后的交接检查,1418,837,0.5903,clear_hazard
standard,balanced+expert,none,无策略,T01,配制酸溶液,1428,899,0.6296,recover_safety
standard,balanced+expert,none,无策略,T02,有机溶剂转移,1431,859,0.6003,clear_hazard
standard,balanced+expert,none,无策略,T03,加热回流,1459,773,0.5298,reduce_upgrade
standard,balanced+expert,none,无策略,T04,废液分类处理,1443,881,0.6105,clear_hazard
standard,balanced+expert,none,无策略,T05,气瓶连接使用,1466,867,0.5914,reduce_upgrade
standard,balanced+expert,none,无策略,T06,通风橱内称量与转移,1442,824,0.5714,gain_redraw
standard,balanced+expert,none,无策略,T07,清理实验台,1455,852,0.5856,recover_safety
standard,balanced+expert,none,无策略,T08,紧急情况报告与撤离,1510,946,0.6265,control_choice
standard,balanced+expert,none,无策略,T09,危险化学品领用与登记,1470,930,0.6327,reduce_upgrade
standard,balanced+expert,none,无策略,T10,低温/高温设备使用,1467,867,0.591,recover_safety
standard,balanced+expert,none,无策略,T11,旋蒸或离心设备操作,1445,890,0.6159,gain_redraw
standard,balanced+expert,none,无策略,T12,实验结束后的交接检查,1466,836,0.5703,clear_hazard
standard,balanced+learner,none,无策略,T01,配制酸溶液,1429,898,0.6284,recover_safety
standard,balanced+learner,none,无策略,T02,有机溶剂转移,1433,808,0.5639,clear_hazard
standard,balanced+learner,none,无策略,T03,加热回流,1515,805,0.5314,reduce_upgrade
standard,balanced+learner,none,无策略,T04,废液分类处理,1452,868,0.5978,clear_hazard
standard,balanced+learner,none,无策略,T05,气瓶连接使用,1467,841,0.5733,reduce_upgrade
standard,balanced+learner,none,无策略,T06,通风橱内称量与转移,1454,820,0.564,gain_redraw
standard,balanced+learner,none,无策略,T07,清理实验台,1466,881,0.601,recover_safety
standard,balanced+learner,none,无策略,T08,紧急情况报告与撤离,1433,890,0.6211,control_choice
standard,balanced+learner,none,无策略,T09,危险化学品领用与登记,1446,858,0.5934,reduce_upgrade
standard,balanced+learner,none,无策略,T10,低温/高温设备使用,1443,863,0.5981,recover_safety
standard,balanced+learner,none,无策略,T11,旋蒸或离心设备操作,1478,862,0.5832,gain_redraw
standard,balanced+learner,none,无策略,T12,实验结束后的交接检查,1456,820,0.5632,clear_hazard
standard,balanced+reckless,none,无策略,T01,配制酸溶液,1471,907,0.6166,recover_safety
standard,balanced+reckless,none,无策略,T02,有机溶剂转移,1423,778,0.5467,clear_hazard
standard,balanced+reckless,none,无策略,T03,加热回流,1453,795,0.5471,reduce_upgrade
standard,balanced+reckless,none,无策略,T04,废液分类处理,1454,938,0.6451,clear_hazard
standard,balanced+reckless,none,无策略,T05,气瓶连接使用,1450,826,0.5697,reduce_upgrade
standard,balanced+reckless,none,无策略,T06,通风橱内称量与转移,1435,791,0.5512,gain_redraw
standard,balanced+reckless,none,无策略,T07,清理实验台,1539,893,0.5802,recover_safety
standard,balanced+reckless,none,无策略,T08,紧急情况报告与撤离,1442,906,0.6283,control_choice
standard,balanced+reckless,none,无策略,T09,危险化学品领用与登记,1482,882,0.5951,reduce_upgrade
standard,balanced+reckless,none,无策略,T10,低温/高温设备使用,1457,869,0.5964,recover_safety
standard,balanced+reckless,none,无策略,T11,旋蒸或离心设备操作,1459,869,0.5956,gain_redraw
standard,balanced+reckless,none,无策略,T12,实验结束后的交接检查,1476,842,0.5705,clear_hazard
standard,balanced+safe,none,无策略,T01,配制酸溶液,1425,889,0.6239,recover_safety
standard,balanced+safe,none,无策略,T02,有机溶剂转移,1552,910,0.5863,clear_hazard
standard,balanced+safe,none,无策略,T03,加热回流,1434,761,0.5307,reduce_upgrade
standard,balanced+safe,none,无策略,T04,废液分类处理,1435,879,0.6125,clear_hazard
standard,balanced+safe,none,无策略,T05,气瓶连接使用,1475,860,0.5831,reduce_upgrade
standard,balanced+safe,none,无策略,T06,通风橱内称量与转移,1432,816,0.5698,gain_redraw
standard,balanced+safe,none,无策略,T07,清理实验台,1426,848,0.5947,recover_safety
standard,balanced+safe,none,无策略,T08,紧急情况报告与撤离,1472,865,0.5876,control_choice
standard,balanced+safe,none,无策略,T09,危险化学品领用与登记,1459,871,0.597,reduce_upgrade
standard,balanced+safe,none,无策略,T10,低温/高温设备使用,1449,860,0.5935,recover_safety
standard,balanced+safe,none,无策略,T11,旋蒸或离心设备操作,1488,934,0.6277,gain_redraw
standard,balanced+safe,none,无策略,T12,实验结束后的交接检查,1438,802,0.5577,clear_hazard
standard,expert+expert,none,无策略,T01,配制酸溶液,1454,930,0.6396,recover_safety
standard,expert+expert,none,无策略,T02,有机溶剂转移,1443,838,0.5807,clear_hazard
standard,expert+expert,none,无策略,T03,加热回流,1532,808,0.5274,reduce_upgrade
standard,expert+expert,none,无策略,T04,废液分类处理,1465,915,0.6246,clear_hazard
standard,expert+expert,none,无策略,T05,气瓶连接使用,1466,847,0.5778,reduce_upgrade
standard,expert+expert,none,无策略,T06,通风橱内称量与转移,1459,839,0.5751,gain_redraw
standard,expert+expert,none,无策略,T07,清理实验台,1406,820,0.5832,recover_safety
standard,expert+expert,none,无策略,T08,紧急情况报告与撤离,1491,923,0.619,control_choice
standard,expert+expert,none,无策略,T09,危险化学品领用与登记,1457,868,0.5957,reduce_upgrade
standard,expert+expert,none,无策略,T10,低温/高温设备使用,1403,836,0.5959,recover_safety
standard,expert+expert,none,无策略,T11,旋蒸或离心设备操作,1481,869,0.5868,gain_redraw
standard,expert+expert,none,无策略,T12,实验结束后的交接检查,1430,830,0.5804,clear_hazard
standard,expert+learner,none,无策略,T01,配制酸溶液,1466,932,0.6357,recover_safety
standard,expert+learner,none,无策略,T02,有机溶剂转移,1458,831,0.57,clear_hazard
standard,expert+learner,none,无策略,T03,加热回流,1452,756,0.5207,reduce_upgrade
standard,expert+learner,none,无策略,T04,废液分类处理,1461,850,0.5818,clear_hazard
standard,expert+learner,none,无策略,T05,气瓶连接使用,1461,806,0.5517,reduce_upgrade
standard,expert+learner,none,无策略,T06,通风橱内称量与转移,1468,767,0.5225,gain_redraw
standard,expert+learner,none,无策略,T07,清理实验台,1515,913,0.6026,recover_safety
standard,expert+learner,none,无策略,T08,紧急情况报告与撤离,1481,895,0.6043,control_choice
standard,expert+learner,none,无策略,T09,危险化学品领用与登记,1455,885,0.6082,reduce_upgrade
standard,expert+learner,none,无策略,T10,低温/高温设备使用,1457,845,0.58,recover_safety
standard,expert+learner,none,无策略,T11,旋蒸或离心设备操作,1430,876,0.6126,gain_redraw
standard,expert+learner,none,无策略,T12,实验结束后的交接检查,1395,810,0.5806,clear_hazard
standard,expert+reckless,none,无策略,T01,配制酸溶液,1424,917,0.644,recover_safety
standard,expert+reckless,none,无策略,T02,有机溶剂转移,1414,795,0.5622,clear_hazard
standard,expert+reckless,none,无策略,T03,加热回流,1465,816,0.557,reduce_upgrade
standard,expert+reckless,none,无策略,T04,废液分类处理,1459,900,0.6169,clear_hazard
standard,expert+reckless,none,无策略,T05,气瓶连接使用,1457,783,0.5374,reduce_upgrade
standard,expert+reckless,none,无策略,T06,通风橱内称量与转移,1454,793,0.5454,gain_redraw
standard,expert+reckless,none,无策略,T07,清理实验台,1446,861,0.5954,recover_safety
standard,expert+reckless,none,无策略,T08,紧急情况报告与撤离,1521,955,0.6279,control_choice
standard,expert+reckless,none,无策略,T09,危险化学品领用与登记,1414,844,0.5969,reduce_upgrade
standard,expert+reckless,none,无策略,T10,低温/高温设备使用,1457,890,0.6108,recover_safety
standard,expert+reckless,none,无策略,T11,旋蒸或离心设备操作,1465,908,0.6198,gain_redraw
standard,expert+reckless,none,无策略,T12,实验结束后的交接检查,1505,869,0.5774,clear_hazard
standard,expert+safe,none,无策略,T01,配制酸溶液,1478,921,0.6231,recover_safety
standard,expert+safe,none,无策略,T02,有机溶剂转移,1423,807,0.5671,clear_hazard
standard,expert+safe,none,无策略,T03,加热回流,1462,822,0.5622,reduce_upgrade
standard,expert+safe,none,无策略,T04,废液分类处理,1458,868,0.5953,clear_hazard
standard,expert+safe,none,无策略,T05,气瓶连接使用,1463,838,0.5728,reduce_upgrade
standard,expert+safe,none,无策略,T06,通风橱内称量与转移,1454,811,0.5578,gain_redraw
standard,expert+safe,none,无策略,T07,清理实验台,1443,865,0.5994,recover_safety
standard,expert+safe,none,无策略,T08,紧急情况报告与撤离,1456,894,0.614,control_choice
standard,expert+safe,none,无策略,T09,危险化学品领用与登记,1419,849,0.5983,reduce_upgrade
standard,expert+safe,none,无策略,T10,低温/高温设备使用,1493,860,0.576,recover_safety
standard,expert+safe,none,无策略,T11,旋蒸或离心设备操作,1438,871,0.6057,gain_redraw
standard,expert+safe,none,无策略,T12,实验结束后的交接检查,1509,874,0.5792,clear_hazard
standard,learner+learner,none,无策略,T01,配制酸溶液,1462,925,0.6327,recover_safety
standard,learner+learner,none,无策略,T02,有机溶剂转移,1453,793,0.5458,clear_hazard
standard,learner+learner,none,无策略,T03,加热回流,1409,705,0.5004,reduce_upgrade
standard,learner+learner,none,无策略,T04,废液分类处理,1460,877,0.6007,clear_hazard
standard,learner+learner,none,无策略,T05,气瓶连接使用,1434,778,0.5425,reduce_upgrade
standard,learner+learner,none,无策略,T06,通风橱内称量与转移,1508,763,0.506,gain_redraw
standard,learner+learner,none,无策略,T07,清理实验台,1418,828,0.5839,recover_safety
standard,learner+learner,none,无策略,T08,紧急情况报告与撤离,1496,886,0.5922,control_choice
standard,learner+learner,none,无策略,T09,危险化学品领用与登记,1473,862,0.5852,reduce_upgrade
standard,learner+learner,none,无策略,T10,低温/高温设备使用,1429,805,0.5633,recover_safety
standard,learner+learner,none,无策略,T11,旋蒸或离心设备操作,1394,795,0.5703,gain_redraw
standard,learner+learner,none,无策略,T12,实验结束后的交接检查,1425,814,0.5712,clear_hazard
standard,learner+reckless,none,无策略,T01,配制酸溶液,1459,909,0.623,recover_safety
standard,learner+reckless,none,无策略,T02,有机溶剂转移,1484,815,0.5492,clear_hazard
standard,learner+reckless,none,无策略,T03,加热回流,1424,768,0.5393,reduce_upgrade
standard,learner+reckless,none,无策略,T04,废液分类处理,1456,856,0.5879,clear_hazard
standard,learner+reckless,none,无策略,T05,气瓶连接使用,1423,740,0.52,reduce_upgrade
