mode,team,strategy_id,strategy_name,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,none,无策略,3000,0.531,0.1997,3.443,3.682,0.453,1.293,5.863,1.202,3.443,0,81,110,341,5,870,2904,2662,3086,1676
standard,balanced+expert,none,无策略,3000,0.54,0.1913,3.475,3.66,0.46,1.265,5.857,1.283,3.475,0,90,102,316,10,862,2860,2618,3232,1714
standard,balanced+learner,none,无策略,3000,0.5157,0.181,3.405,3.599,0.485,1.321,5.854,1.216,3.405,0,90,107,320,9,927,2770,2642,3120,1682
standard,balanced+reckless,none,无策略,3000,0.519,0.18,3.432,3.713,0.451,1.283,5.871,1.197,3.432,0,73,107,296,9,958,2845,2669,3122,1660
standard,balanced+safe,none,无策略,3000,0.5213,0.1853,3.432,3.544,0.493,1.307,5.862,1.239,3.432,0,101,97,338,8,892,2861,2597,3087,1750
standard,expert+expert,none,无策略,3000,0.5097,0.1913,3.441,3.604,0.471,1.296,5.863,1.323,3.441,0,102,96,311,15,947,2875,2586,3154,1708
standard,expert+learner,none,无策略,3000,0.494,0.172,3.389,3.509,0.496,1.335,5.861,1.347,3.389,0,85,93,357,12,971,2754,2690,3079,1643
standard,expert+reckless,none,无策略,3000,0.5287,0.1987,3.444,3.723,0.452,1.285,5.855,1.26,3.444,0,84,115,315,7,893,2836,2668,3126,1701
standard,expert+safe,none,无策略,3000,0.512,0.185,3.427,3.569,0.494,1.309,5.857,1.31,3.427,0,75,97,348,13,931,2831,2646,3121,1682
standard,learner+learner,none,无策略,3000,0.4813,0.156,3.277,3.397,0.555,1.407,5.819,0.883,3.277,0,97,133,367,19,940,2767,2558,2948,1558
standard,learner+reckless,none,无策略,3000,0.475,0.1717,3.312,3.487,0.555,1.408,5.838,0.845,3.312,0,97,114,363,17,984,2731,2688,2942,1574
standard,learner+safe,none,无策略,3000,0.4943,0.1713,3.371,3.465,0.512,1.341,5.859,1.277,3.371,0,107,98,347,11,954,2777,2627,3001,1708
standard,reckless+reckless,none,无策略,3000,0.4307,0.1367,3.128,3.047,0.678,1.53,5.782,0.0,3.128,0,129,113,525,14,927,2613,2450,2773,1549
standard,reckless+safe,none,无策略,3000,0.5093,0.1947,3.411,3.587,0.474,1.292,5.851,1.231,3.411,0,101,94,353,10,914,2875,2636,3061,1661
standard,safe+safe,none,无策略,3000,0.525,0.1923,3.444,3.528,0.503,1.299,5.857,1.229,3.444,0,99,99,369,10,848,2832,2617,3157,1726
teaching,balanced+balanced,none,无策略,3000,0.5283,0.2,3.5,5.404,0.237,1.043,5.955,1.347,3.5,0,28,100,79,5,1203,2885,2635,3235,1746
challenge,balanced+balanced,none,无策略,3000,0.338,0.0647,2.893,1.247,0.745,2.074,6.688,1.084,2.893,0,191,313,1239,6,237,2522,2231,2490,1437
standard,balanced+balanced,stable_management,稳健管理,3000,0.5107,0.2053,3.46,5.091,0.462,1.303,5.914,1.227,3.46,0,27,200,83,25,1133,2850,2639,3118,1773
standard,balanced+balanced,efficiency_first,效率优先,3000,0.4757,0.316,4.162,3.686,0.766,1.221,5.762,1.197,3.359,0,59,102,259,187,966,2762,2642,3085,1587
standard,balanced+balanced,standards_first,规范先行,3000,0.5207,0.2057,3.334,3.214,0.442,1.221,5.73,1.18,3.334,0,186,12,580,15,645,2668,2612,3079,1644
standard,balanced+balanced,risk_isolation,风险隔离,3000,0.506,0.18,3.456,3.758,0.466,1.289,5.886,1.293,3.456,0,0,151,269,14,1048,2871,2642,3114,1742
