mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,none,无策略,E01,未佩戴护目镜,732,0.1981,0.4727,0.1421,0.1872,0.0,0.0
standard,balanced+balanced,none,无策略,E02,试剂瓶标签模糊,886,0.1546,0.3916,0.2065,0.2472,0.0,0.0
standard,balanced+balanced,none,无策略,E03,实验台杂乱,896,0.1931,0.4118,0.1908,0.2042,0.0,0.0
standard,balanced+balanced,none,无策略,E04,废液桶未及时封口,735,0.3986,0.3252,0.1673,0.1088,0.0,0.0
standard,balanced+balanced,none,无策略,E05,挥发性溶剂在开放环境中转移,937,0.2732,0.3799,0.1836,0.1633,0.0,0.0
standard,balanced+balanced,none,无策略,E06,有机溶剂附近存在火源,706,0.2663,0.187,0.4278,0.119,0.0,0.0
standard,balanced+balanced,none,无策略,E07,地面少量液体洒漏,404,0.2401,0.3441,0.2005,0.2153,0.0,0.0
standard,balanced+balanced,none,无策略,E08,玻璃器皿出现裂纹,1337,0.2341,0.3687,0.2221,0.175,0.0,0.0
standard,balanced+balanced,none,无策略,E09,气瓶未固定,373,0.2574,0.4531,0.1743,0.1153,0.0,0.0
standard,balanced+balanced,none,无策略,E10,通风橱内堆放过多物品,593,0.2766,0.3777,0.2344,0.1113,0.0,0.0
standard,balanced+balanced,none,无策略,E11,废液混放产生异常气味,647,0.2071,0.3833,0.1947,0.2148,0.0,0.0
standard,balanced+balanced,none,无策略,E12,加热装置无人值守,581,0.3133,0.222,0.3804,0.0843,0.0,0.0
standard,balanced+balanced,none,无策略,E13,皮肤接触腐蚀性液体,883,0.2492,0.4451,0.0,0.0,0.3058,0.0
standard,balanced+balanced,none,无策略,E14,容器内压力异常升高,321,0.3115,0.2087,0.4112,0.0685,0.0,0.0
standard,balanced+balanced,none,无策略,E15,实验台出现小型明火,546,0.4469,0.2637,0.0,0.0,0.2894,0.0
standard,balanced+balanced,none,无策略,E16,刺激性气味明显增强,1186,0.3761,0.2015,0.3685,0.054,0.0,0.0
standard,balanced+balanced,none,无策略,E17,危化品领用记录与实物不一致,1086,0.3794,0.1768,0.3545,0.0893,0.0,0.0
standard,balanced+balanced,none,无策略,E18,实验结束后设备未断电且记录缺失,599,0.2922,0.1653,0.4424,0.1002,0.0,0.0
standard,balanced+balanced,none,无策略,E19,装置软管连接松动并有渗漏,681,0.2922,0.37,0.2217,0.116,0.0,0.0
standard,balanced+balanced,none,无策略,E20,离心样品配平异常,305,0.3803,0.2164,0.2984,0.1049,0.0,0.0
standard,balanced+balanced,none,无策略,E21,旋蒸装置夹具松动或收集瓶偏斜,322,0.4161,0.1863,0.3323,0.0652,0.0,0.0
standard,balanced+balanced,none,无策略,E22,通风橱前窗开启过高导致气流失效,939,0.393,0.2322,0.3003,0.0745,0.0,0.0
standard,balanced+balanced,none,无策略,E23,未知粉末散落并引发刺激性不适,926,0.216,0.3661,0.2365,0.1814,0.0,0.0
standard,balanced+balanced,none,无策略,E24,钢瓶减压阀异常结霜并伴异响,886,0.351,0.1975,0.377,0.0745,0.0,0.0
standard,balanced+expert,none,无策略,E01,未佩戴护目镜,630,0.1889,0.4762,0.1413,0.1937,0.0,0.0
standard,balanced+expert,none,无策略,E02,试剂瓶标签模糊,896,0.2098,0.3873,0.1842,0.2188,0.0,0.0
standard,balanced+expert,none,无策略,E03,实验台杂乱,942,0.1752,0.4639,0.1571,0.2038,0.0,0.0
standard,balanced+expert,none,无策略,E04,废液桶未及时封口,618,0.3463,0.3252,0.2104,0.1181,0.0,0.0
standard,balanced+expert,none,无策略,E05,挥发性溶剂在开放环境中转移,966,0.2505,0.3602,0.1925,0.1967,0.0,0.0
standard,balanced+expert,none,无策略,E06,有机溶剂附近存在火源,634,0.265,0.2098,0.3991,0.1262,0.0,0.0
standard,balanced+expert,none,无策略,E07,地面少量液体洒漏,427,0.2131,0.3583,0.1874,0.2412,0.0,0.0
standard,balanced+expert,none,无策略,E08,玻璃器皿出现裂纹,1290,0.2822,0.3682,0.176,0.1736,0.0,0.0
standard,balanced+expert,none,无策略,E09,气瓶未固定,400,0.2875,0.3925,0.1625,0.1575,0.0,0.0
standard,balanced+expert,none,无策略,E10,通风橱内堆放过多物品,592,0.25,0.397,0.2601,0.0929,0.0,0.0
standard,balanced+expert,none,无策略,E11,废液混放产生异常气味,631,0.2155,0.355,0.225,0.2044,0.0,0.0
standard,balanced+expert,none,无策略,E12,加热装置无人值守,589,0.3413,0.1986,0.3684,0.0917,0.0,0.0
standard,balanced+expert,none,无策略,E13,皮肤接触腐蚀性液体,929,0.2411,0.4704,0.0,0.0,0.2885,0.0
standard,balanced+expert,none,无策略,E14,容器内压力异常升高,307,0.3257,0.2182,0.3713,0.0847,0.0,0.0
standard,balanced+expert,none,无策略,E15,实验台出现小型明火,551,0.4392,0.2505,0.0,0.0,0.3103,0.0
standard,balanced+expert,none,无策略,E16,刺激性气味明显增强,1194,0.3685,0.2018,0.3769,0.0528,0.0,0.0
standard,balanced+expert,none,无策略,E17,危化品领用记录与实物不一致,1141,0.3874,0.1884,0.3611,0.0631,0.0,0.0
standard,balanced+expert,none,无策略,E18,实验结束后设备未断电且记录缺失,609,0.2808,0.133,0.4844,0.1018,0.0,0.0
standard,balanced+expert,none,无策略,E19,装置软管连接松动并有渗漏,681,0.3025,0.4023,0.1909,0.1043,0.0,0.0
standard,balanced+expert,none,无策略,E20,离心样品配平异常,343,0.3878,0.1983,0.2857,0.1283,0.0,0.0
standard,balanced+expert,none,无策略,E21,旋蒸装置夹具松动或收集瓶偏斜,336,0.4702,0.2083,0.2649,0.0565,0.0,0.0
standard,balanced+expert,none,无策略,E22,通风橱前窗开启过高导致气流失效,922,0.3959,0.2451,0.2863,0.0727,0.0,0.0
standard,balanced+expert,none,无策略,E23,未知粉末散落并引发刺激性不适,983,0.1872,0.4018,0.2319,0.179,0.0,0.0
standard,balanced+expert,none,无策略,E24,钢瓶减压阀异常结霜并伴异响,871,0.3708,0.1734,0.3915,0.0643,0.0,0.0
standard,balanced+learner,none,无策略,E01,未佩戴护目镜,637,0.2308,0.4317,0.1617,0.1758,0.0,0.0
standard,balanced+learner,none,无策略,E02,试剂瓶标签模糊,901,0.202,0.3685,0.2009,0.2286,0.0,0.0
standard,balanced+learner,none,无策略,E03,实验台杂乱,931,0.1987,0.4243,0.1633,0.2137,0.0,0.0
standard,balanced+learner,none,无策略,E04,废液桶未及时封口,662,0.3776,0.2825,0.2024,0.1375,0.0,0.0
standard,balanced+learner,none,无策略,E05,挥发性溶剂在开放环境中转移,923,0.273,0.3467,0.1939,0.1863,0.0,0.0
standard,balanced+learner,none,无策略,E06,有机溶剂附近存在火源,665,0.2692,0.1865,0.4241,0.1203,0.0,0.0
standard,balanced+learner,none,无策略,E07,地面少量液体洒漏,427,0.2482,0.3724,0.1733,0.2061,0.0,0.0
