mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,none,无策略,stop,暂停当前步骤,14909,0.1278
standard,balanced+balanced,none,无策略,ppe,补全PPE,3647,0.0313
standard,balanced+balanced,none,无策略,label,核对标签与记录,9211,0.079
standard,balanced+balanced,none,无策略,hood,使用通风橱,8780,0.0753
standard,balanced+balanced,none,无策略,waste,分类回收,3725,0.0319
standard,balanced+balanced,none,无策略,cleanup,隔离与清理,7987,0.0685
standard,balanced+balanced,none,无策略,emergency,使用应急设施,10929,0.0937
standard,balanced+balanced,none,无策略,report,上报负责人,14796,0.1268
standard,balanced+balanced,none,无策略,shutdown,切断热源/电源,14648,0.1256
standard,balanced+balanced,none,无策略,inspect,检查并更换器材,9354,0.0802
standard,balanced+balanced,none,无策略,secure,固定与规范连接,5228,0.0448
standard,balanced+balanced,none,无策略,evacuate,撤离与警戒,13432,0.1152
standard,balanced+expert,none,无策略,stop,暂停当前步骤,14882,0.1276
standard,balanced+expert,none,无策略,ppe,补全PPE,3577,0.0307
standard,balanced+expert,none,无策略,label,核对标签与记录,9283,0.0796
standard,balanced+expert,none,无策略,hood,使用通风橱,8890,0.0762
standard,balanced+expert,none,无策略,waste,分类回收,3546,0.0304
standard,balanced+expert,none,无策略,cleanup,隔离与清理,7899,0.0677
standard,balanced+expert,none,无策略,emergency,使用应急设施,10602,0.0909
standard,balanced+expert,none,无策略,report,上报负责人,15042,0.1289
standard,balanced+expert,none,无策略,shutdown,切断热源/电源,15026,0.1288
standard,balanced+expert,none,无策略,inspect,检查并更换器材,9265,0.0794
standard,balanced+expert,none,无策略,secure,固定与规范连接,5118,0.0439
standard,balanced+expert,none,无策略,evacuate,撤离与警戒,13530,0.116
standard,balanced+learner,none,无策略,stop,暂停当前步骤,14906,0.1277
standard,balanced+learner,none,无策略,ppe,补全PPE,3464,0.0297
standard,balanced+learner,none,无策略,label,核对标签与记录,8769,0.0751
standard,balanced+learner,none,无策略,hood,使用通风橱,8751,0.075
standard,balanced+learner,none,无策略,waste,分类回收,3538,0.0303
standard,balanced+learner,none,无策略,cleanup,隔离与清理,7750,0.0664
standard,balanced+learner,none,无策略,emergency,使用应急设施,11387,0.0976
standard,balanced+learner,none,无策略,report,上报负责人,14820,0.127
standard,balanced+learner,none,无策略,shutdown,切断热源/电源,15031,0.1288
standard,balanced+learner,none,无策略,inspect,检查并更换器材,9224,0.079
standard,balanced+learner,none,无策略,secure,固定与规范连接,5274,0.0452
standard,balanced+learner,none,无策略,evacuate,撤离与警戒,13778,0.1181
standard,balanced+reckless,none,无策略,stop,暂停当前步骤,14812,0.127
standard,balanced+reckless,none,无策略,ppe,补全PPE,3550,0.0304
standard,balanced+reckless,none,无策略,label,核对标签与记录,9104,0.078
standard,balanced+reckless,none,无策略,hood,使用通风橱,9007,0.0772
standard,balanced+reckless,none,无策略,waste,分类回收,3863,0.0331
standard,balanced+reckless,none,无策略,cleanup,隔离与清理,8150,0.0699
standard,balanced+reckless,none,无策略,emergency,使用应急设施,10987,0.0942
standard,balanced+reckless,none,无策略,report,上报负责人,14398,0.1234
standard,balanced+reckless,none,无策略,shutdown,切断热源/电源,14599,0.1251
standard,balanced+reckless,none,无策略,inspect,检查并更换器材,9260,0.0794
standard,balanced+reckless,none,无策略,secure,固定与规范连接,5390,0.0462
standard,balanced+reckless,none,无策略,evacuate,撤离与警戒,13536,0.116
standard,balanced+safe,none,无策略,stop,暂停当前步骤,15262,0.1311
standard,balanced+safe,none,无策略,ppe,补全PPE,3337,0.0287
standard,balanced+safe,none,无策略,label,核对标签与记录,8659,0.0744
standard,balanced+safe,none,无策略,hood,使用通风橱,8350,0.0717
standard,balanced+safe,none,无策略,waste,分类回收,3564,0.0306
standard,balanced+safe,none,无策略,cleanup,隔离与清理,7613,0.0654
standard,balanced+safe,none,无策略,emergency,使用应急设施,11420,0.0981
standard,balanced+safe,none,无策略,report,上报负责人,15121,0.1299
standard,balanced+safe,none,无策略,shutdown,切断热源/电源,15183,0.1305
standard,balanced+safe,none,无策略,inspect,检查并更换器材,8983,0.0772
standard,balanced+safe,none,无策略,secure,固定与规范连接,5019,0.0431
standard,balanced+safe,none,无策略,evacuate,撤离与警戒,13875,0.1192
standard,expert+expert,none,无策略,stop,暂停当前步骤,14883,0.1277
standard,expert+expert,none,无策略,ppe,补全PPE,3548,0.0304
standard,expert+expert,none,无策略,label,核对标签与记录,9246,0.0793
standard,expert+expert,none,无策略,hood,使用通风橱,8817,0.0757
standard,expert+expert,none,无策略,waste,分类回收,3463,0.0297
standard,expert+expert,none,无策略,cleanup,隔离与清理,7951,0.0682
standard,expert+expert,none,无策略,emergency,使用应急设施,10790,0.0926
standard,expert+expert,none,无策略,report,上报负责人,14950,0.1283
standard,expert+expert,none,无策略,shutdown,切断热源/电源,14930,0.1281
standard,expert+expert,none,无策略,inspect,检查并更换器材,9371,0.0804
standard,expert+expert,none,无策略,secure,固定与规范连接,5195,0.0446
standard,expert+expert,none,无策略,evacuate,撤离与警戒,13386,0.1149
standard,expert+learner,none,无策略,stop,暂停当前步骤,15175,0.1302
standard,expert+learner,none,无策略,ppe,补全PPE,3290,0.0282
standard,expert+learner,none,无策略,label,核对标签与记录,8971,0.0769
