mode,team,strategy_id,strategy_name,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
standard,balanced+balanced,none,无策略,E01,未佩戴护目镜,2263,0.1847,0.4852,0.1533,0.1768,0.0,0.0
standard,balanced+balanced,none,无策略,E02,试剂瓶标签模糊,3009,0.1622,0.3852,0.2104,0.2423,0.0,0.0
standard,balanced+balanced,none,无策略,E03,实验台杂乱,3129,0.1646,0.4324,0.194,0.209,0.0,0.0
standard,balanced+balanced,none,无策略,E04,废液桶未及时封口,2256,0.3488,0.324,0.1884,0.1387,0.0,0.0
standard,balanced+balanced,none,无策略,E05,挥发性溶剂在开放环境中转移,3189,0.248,0.3942,0.175,0.1828,0.0,0.0
standard,balanced+balanced,none,无策略,E06,有机溶剂附近存在火源,2258,0.2976,0.1639,0.4194,0.1191,0.0,0.0
standard,balanced+balanced,none,无策略,E07,地面少量液体洒漏,1392,0.2371,0.3822,0.1947,0.1861,0.0,0.0
standard,balanced+balanced,none,无策略,E08,玻璃器皿出现裂纹,4526,0.2592,0.3491,0.2064,0.1854,0.0,0.0
standard,balanced+balanced,none,无策略,E09,气瓶未固定,1309,0.2307,0.4629,0.1604,0.1459,0.0,0.0
standard,balanced+balanced,none,无策略,E10,通风橱内堆放过多物品,2034,0.2365,0.3894,0.2586,0.1155,0.0,0.0
standard,balanced+balanced,none,无策略,E11,废液混放产生异常气味,2074,0.188,0.3727,0.2507,0.1885,0.0,0.0
standard,balanced+balanced,none,无策略,E12,加热装置无人值守,1968,0.3404,0.1951,0.3694,0.095,0.0,0.0
standard,balanced+balanced,none,无策略,E13,皮肤接触腐蚀性液体,2954,0.2271,0.4766,0.0,0.0,0.2962,0.0
standard,balanced+balanced,none,无策略,E14,容器内压力异常升高,967,0.3309,0.152,0.4374,0.0796,0.0,0.0
standard,balanced+balanced,none,无策略,E15,实验台出现小型明火,1858,0.4386,0.2508,0.0,0.0,0.3105,0.0
standard,balanced+balanced,none,无策略,E16,刺激性气味明显增强,3879,0.373,0.2323,0.3393,0.0554,0.0,0.0
standard,balanced+balanced,none,无策略,E17,危化品领用记录与实物不一致,3726,0.3849,0.19,0.3459,0.0792,0.0,0.0
standard,balanced+balanced,none,无策略,E18,实验结束后设备未断电且记录缺失,2057,0.2888,0.1361,0.4672,0.1079,0.0,0.0
standard,balanced+balanced,none,无策略,E19,装置软管连接松动并有渗漏,2214,0.2624,0.4092,0.2028,0.1256,0.0,0.0
standard,balanced+balanced,none,无策略,E20,离心样品配平异常,1100,0.3518,0.2255,0.3127,0.11,0.0,0.0
standard,balanced+balanced,none,无策略,E21,旋蒸装置夹具松动或收集瓶偏斜,1073,0.4604,0.1948,0.2908,0.0541,0.0,0.0
standard,balanced+balanced,none,无策略,E22,通风橱前窗开启过高导致气流失效,3085,0.3757,0.2467,0.3028,0.0749,0.0,0.0
standard,balanced+balanced,none,无策略,E23,未知粉末散落并引发刺激性不适,3094,0.2269,0.3571,0.2363,0.1797,0.0,0.0
standard,balanced+balanced,none,无策略,E24,钢瓶减压阀异常结霜并伴异响,2909,0.3812,0.1922,0.3499,0.0767,0.0,0.0
standard,balanced+expert,none,无策略,E01,未佩戴护目镜,2277,0.1928,0.4901,0.1533,0.1638,0.0,0.0
standard,balanced+expert,none,无策略,E02,试剂瓶标签模糊,2924,0.1915,0.3943,0.2055,0.2086,0.0,0.0
standard,balanced+expert,none,无策略,E03,实验台杂乱,3086,0.1857,0.4456,0.175,0.1938,0.0,0.0
standard,balanced+expert,none,无策略,E04,废液桶未及时封口,2253,0.3493,0.3298,0.1877,0.1332,0.0,0.0
standard,balanced+expert,none,无策略,E05,挥发性溶剂在开放环境中转移,3090,0.245,0.3744,0.1913,0.1893,0.0,0.0
