mode,team,strategy_id,strategy_name,task_id,task_name,appearances,completions,completion_rate,reward
standard,balanced+balanced,none,无策略,T01,配制酸溶液,4913,3061,0.623,recover_safety
standard,balanced+balanced,none,无策略,T02,有机溶剂转移,4844,2851,0.5886,clear_hazard
standard,balanced+balanced,none,无策略,T03,加热回流,4829,2572,0.5326,reduce_upgrade
standard,balanced+balanced,none,无策略,T04,废液分类处理,4782,2928,0.6123,clear_hazard
standard,balanced+balanced,none,无策略,T05,气瓶连接使用,4841,2799,0.5782,reduce_upgrade
standard,balanced+balanced,none,无策略,T06,通风橱内称量与转移,4850,2687,0.554,gain_redraw
standard,balanced+balanced,none,无策略,T07,清理实验台,4862,2903,0.5971,recover_safety
standard,balanced+balanced,none,无策略,T08,紧急情况报告与撤离,4846,3027,0.6246,control_choice
standard,balanced+balanced,none,无策略,T09,危险化学品领用与登记,4895,2865,0.5853,reduce_upgrade
standard,balanced+balanced,none,无策略,T10,低温/高温设备使用,4976,2948,0.5924,recover_safety
standard,balanced+balanced,none,无策略,T11,旋蒸或离心设备操作,4803,2890,0.6017,gain_redraw
standard,balanced+balanced,none,无策略,T12,实验结束后的交接检查,4882,2797,0.5729,clear_hazard
standard,balanced+expert,none,无策略,T01,配制酸溶液,4778,3072,0.6429,recover_safety
standard,balanced+expert,none,无策略,T02,有机溶剂转移,4890,2833,0.5793,clear_hazard
standard,balanced+expert,none,无策略,T03,加热回流,4952,2626,0.5303,reduce_upgrade
standard,balanced+expert,none,无策略,T04,废液分类处理,4812,2949,0.6128,clear_hazard
standard,balanced+expert,none,无策略,T05,气瓶连接使用,4881,2800,0.5737,reduce_upgrade
standard,balanced+expert,none,无策略,T06,通风橱内称量与转移,4846,2760,0.5695,gain_redraw
standard,balanced+expert,none,无策略,T07,清理实验台,4892,2836,0.5797,recover_safety
standard,balanced+expert,none,无策略,T08,紧急情况报告与撤离,4882,3058,0.6264,control_choice
standard,balanced+expert,none,无策略,T09,危险化学品领用与登记,4851,2907,0.5993,reduce_upgrade
standard,balanced+expert,none,无策略,T10,低温/高温设备使用,4849,2839,0.5855,recover_safety
standard,balanced+expert,none,无策略,T11,旋蒸或离心设备操作,4827,2880,0.5966,gain_redraw
standard,balanced+expert,none,无策略,T12,实验结束后的交接检查,4870,2864,0.5881,clear_hazard
standard,balanced+learner,none,无策略,T01,配制酸溶液,4929,3050,0.6188,recover_safety
standard,balanced+learner,none,无策略,T02,有机溶剂转移,4843,2808,0.5798,clear_hazard
standard,balanced+learner,none,无策略,T03,加热回流,4856,2667,0.5492,reduce_upgrade
standard,balanced+learner,none,无策略,T04,废液分类处理,4917,2977,0.6055,clear_hazard
standard,balanced+learner,none,无策略,T05,气瓶连接使用,4821,2796,0.58,reduce_upgrade
standard,balanced+learner,none,无策略,T06,通风橱内称量与转移,4892,2719,0.5558,gain_redraw
standard,balanced+learner,none,无策略,T07,清理实验台,4815,2844,0.5907,recover_safety
standard,balanced+learner,none,无策略,T08,紧急情况报告与撤离,4897,3078,0.6285,control_choice
standard,balanced+learner,none,无策略,T09,危险化学品领用与登记,4913,2887,0.5876,reduce_upgrade
standard,balanced+learner,none,无策略,T10,低温/高温设备使用,4846,2884,0.5951,recover_safety
