mode,team,strategy_id,strategy_name,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,none,无策略,10000,0.5244,0.1827,3.433,3.654,0.465,1.291,5.863,1.193,3.433,0,308,377,1025,31,3015,9541,8912,10298,5577
standard,balanced+expert,none,无策略,10000,0.5237,0.1922,3.442,3.648,0.459,1.291,5.864,1.273,3.442,0,305,357,1034,38,3029,9580,8747,10457,5640
standard,balanced+learner,none,无策略,10000,0.5199,0.1925,3.438,3.628,0.476,1.303,5.864,1.212,3.438,0,291,346,1083,38,3043,9427,8778,10534,5640
standard,balanced+reckless,none,无策略,10000,0.5126,0.1819,3.419,3.674,0.463,1.284,5.861,1.195,3.419,0,286,370,1051,33,3134,9491,8731,10444,5527
standard,balanced+safe,none,无策略,10000,0.5252,0.1901,3.427,3.575,0.494,1.311,5.85,1.222,3.427,0,311,357,1093,47,2940,9473,8848,10306,5645
standard,expert+expert,none,无策略,10000,0.5187,0.1873,3.423,3.55,0.491,1.312,5.857,1.308,3.423,0,310,359,1115,31,2998,9430,8802,10421,5581
standard,expert+learner,none,无策略,10000,0.511,0.189,3.422,3.583,0.489,1.314,5.859,1.31,3.422,0,298,344,1119,33,3096,9463,8824,10329,5605
standard,expert+reckless,none,无策略,10000,0.5257,0.194,3.452,3.715,0.454,1.267,5.866,1.284,3.452,0,291,337,1021,25,3069,9445,8953,10493,5628
standard,expert+safe,none,无策略,10000,0.5291,0.194,3.455,3.626,0.493,1.291,5.857,1.307,3.455,0,290,331,1116,37,2935,9547,8962,10378,5666
standard,learner+learner,none,无策略,10000,0.4687,0.1586,3.276,3.354,0.578,1.416,5.832,0.884,3.276,0,340,390,1340,49,3194,9179,8705,9632,5241
standard,learner+reckless,none,无策略,10000,0.4755,0.1709,3.308,3.46,0.554,1.396,5.839,0.854,3.308,0,313,397,1202,45,3288,9185,8615,9956,5324
standard,learner+safe,none,无策略,10000,0.5196,0.1881,3.424,3.575,0.495,1.304,5.855,1.243,3.424,0,322,331,1156,44,2951,9441,8878,10208,5711
standard,reckless+reckless,none,无策略,10000,0.4207,0.1401,3.09,3.009,0.698,1.586,5.762,0.0,3.09,0,452,449,1715,63,3114,8452,8138,9105,5202
standard,reckless+safe,none,无策略,10000,0.5155,0.1881,3.425,3.606,0.481,1.298,5.863,1.22,3.425,0,284,375,1094,25,3067,9512,8850,10331,5556
standard,safe+safe,none,无策略,10000,0.5131,0.1856,3.421,3.476,0.523,1.333,5.856,1.262,3.421,0,333,318,1227,31,2960,9555,8856,10232,5572
teaching,balanced+balanced,none,无策略,10000,0.8056,0.2103,3.504,5.448,0.231,1.027,5.953,1.317,3.504,0,67,308,289,15,1265,9502,8942,10797,5799
challenge,balanced+balanced,none,无策略,10000,0.3469,0.0613,2.934,1.314,0.712,2.037,6.724,1.078,2.934,0,678,1067,3972,13,801,8502,7477,8546,4811
standard,balanced+balanced,stable_management,稳健管理,10000,0.5229,0.2102,3.475,5.178,0.465,1.292,5.908,1.202,3.475,0,52,683,309,89,3638,9537,8966,10528,5719
standard,balanced+balanced,efficiency_first,效率优先,10000,0.4885,0.3135,4.202,3.685,0.773,1.207,5.781,1.199,3.387,0,201,356,884,587,3087,9373,8645,10260,5596
standard,balanced+balanced,standards_first,规范先行,10000,0.5155,0.1944,3.336,3.162,0.453,1.225,5.735,1.188,3.336,0,541,34,1950,35,2285,8889,8514,10480,5477
standard,balanced+balanced,risk_isolation,风险隔离,10000,0.5107,0.1866,3.479,3.829,0.459,1.258,5.893,1.266,3.479,0,0,501,865,41,3486,9589,8968,10443,5788
