mode,strategy_id,strategy_name,player_count,win,loss_reason,turns,progress,safety,accident,hazards,redraws_used,completed_tasks,knowledge_count,avg_contribution,max_contribution,min_contribution
teaching,none,无策略,4,0,progress_shortfall,8,6,9,0,0,2,6,8,2.75,3,2
teaching,none,无策略,4,0,progress_shortfall,8,4,4,0,2,3,4,8,2,4,0
teaching,none,无策略,4,0,progress_shortfall,8,4,5,0,0,3,4,6,2.5,4,1
teaching,none,无策略,4,0,progress_shortfall,8,6,12,0,0,1,6,7,3.75,4,3
teaching,none,无策略,4,0,progress_shortfall,8,3,3,0,3,3,3,6,1.5,2,1
teaching,none,无策略,4,0,progress_shortfall,8,3,5,0,0,2,3,7,2.5,4,1
teaching,none,无策略,4,0,progress_shortfall,8,4,8,0,0,2,4,8,2.75,4,2
teaching,none,无策略,4,0,progress_shortfall,8,2,5,1,0,3,2,7,2,3,1
teaching,none,无策略,4,0,progress_shortfall,8,3,4,0,0,3,3,6,2,4,0
teaching,none,无策略,4,0,progress_shortfall,8,4,10,0,0,2,4,7,2.5,3,1
teaching,none,无策略,4,0,progress_shortfall,8,3,5,0,0,3,3,6,2,4,0
teaching,none,无策略,4,0,progress_shortfall,8,3,4,0,3,3,3,7,2,4,1
teaching,none,无策略,4,1,win,8,7,12,0,0,2,6,7,3,4,2
teaching,none,无策略,4,0,progress_shortfall,8,4,9,0,0,2,4,7,3.25,4,2
teaching,none,无策略,4,0,progress_shortfall,8,4,5,0,4,3,4,7,2.5,4,2
teaching,none,无策略,4,0,progress_shortfall,8,3,1,2,2,3,3,8,2,4,1
teaching,none,无策略,4,0,progress_shortfall,8,5,8,0,0,3,5,6,2.5,3,2
teaching,none,无策略,4,0,progress_shortfall,8,3,9,0,0,2,3,8,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,6,8,0,0,2,6,7,2.25,3,1
teaching,none,无策略,4,0,progress_shortfall,8,3,8,0,1,3,3,8,1.75,3,1
teaching,none,无策略,4,0,progress_shortfall,8,2,3,0,4,3,2,7,1.5,3,-1
teaching,none,无策略,4,0,progress_shortfall,8,4,10,0,2,1,4,5,3,4,2
teaching,none,无策略,4,0,progress_shortfall,8,2,3,2,2,3,2,6,1.5,3,0
teaching,none,无策略,4,0,progress_shortfall,8,5,8,0,0,3,4,7,2.75,4,1
teaching,none,无策略,4,0,progress_shortfall,8,5,5,0,0,2,5,8,2.75,4,1
teaching,none,无策略,4,0,safety_zero,7,3,-1,4,2,3,3,6,0.75,2,-2
teaching,none,无策略,4,0,progress_shortfall,8,4,11,0,2,3,3,6,2.75,3,2
teaching,none,无策略,4,0,progress_shortfall,8,5,6,0,0,3,5,7,2.5,3,2
teaching,none,无策略,4,0,progress_shortfall,8,5,6,0,1,3,5,6,2.5,4,0
teaching,none,无策略,4,0,progress_shortfall,8,3,7,0,1,2,2,8,2.25,3,1
teaching,none,无策略,4,0,progress_shortfall,8,4,5,0,2,3,4,6,2,3,1
