turn,task_id,event_id,post_id,result,selected_actions,progress_delta,safety_delta,hazard_delta,accident_delta,pending_state
1,T06,E09,resource_manager,complete,A12|A05,1,0,0,0,none
2,T01,E03,recorder,maintain,A22|A03,0,-1,1,0,exposed
3,T05,E13,safety_officer,maintain,A08|A09,0,-2,1,0,critical
4,T04,E06,safety_officer,complete,A06|A19,1,0,-1,0,none
5,T10,E25,resource_manager,complete,A11|A16,1,0,-1,0,none
6,T08,E11,recorder,complete,A02,1,0,-1,0,none
7,T16,E12,resource_manager,wrong,A21|A24,0,-2,1,1,critical
8,T18,E18,recorder,complete,A17|A10,1,0,-1,0,none
1,T13,E27,safety_officer,complete,A01|A08,1,0,0,0,none
2,T02,E10,recorder,maintain,A20|A18,0,-1,1,0,exposed
3,T10,E20,recorder,complete,A24|A22,1,0,-1,0,none
4,T07,E18,operator,complete,A17|A10,1,0,-1,0,none
5,T10,E25,recorder,maintain,A03|A16,0,-1,1,0,critical
6,T18,E36,safety_officer,maintain,A09|A13,0,-1,1,0,critical
7,T17,E23,safety_officer,wrong,A07,0,-4,1,2,critical
8,T18,E26,resource_manager,complete,A19|A21,1,0,-1,0,none
1,T14,E14,recorder,wrong,A03|A19,0,-2,1,1,critical
2,T13,E05,recorder,maintain,A02|A13,0,-1,1,0,critical
3,T07,E26,recorder,complete,A22|A09,1,0,-1,0,none
4,T05,E07,resource_manager,wrong,A16|A24,0,-2,1,1,critical
5,T05,E13,operator,wrong,A10,0,-4,1,2,critical
1,T14,E14,recorder,wrong,A19|A02,0,-2,1,1,critical
2,T14,E26,recorder,complete,A17|A22,1,0,-1,0,none
3,T05,E07,safety_officer,complete,A13|A07,1,0,0,0,none
4,T03,E17,operator,complete,A10|A11,1,0,0,0,none
5,T11,E20,resource_manager,complete,A24|A05,1,0,0,0,none
6,T18,E36,safety_officer,maintain,A09|A18,0,-1,1,0,exposed
7,T17,E23,safety_officer,maintain,A01,0,-2,1,0,critical
8,T08,E11,resource_manager,wrong,A21|A16,0,-4,1,2,critical
1,T02,E10,recorder,maintain,A20|A18,0,-1,1,0,exposed
2,T06,E09,resource_manager,maintain,A24|A11,0,-2,1,0,critical
3,T03,E12,recorder,complete,A17|A22,1,0,-1,0,none
4,T05,E07,safety_officer,complete,A01|A07,1,0,-1,0,none
